Reviews,Mood
The Dark Knight is the peak of cinema and if you disagree this is at least the peak of cinema for DC Joker is absolutely iconic and has some good jokes but you cant help but feel that he is a true threat With the previous movie in the trilogy the villain had certain goals to cleanse society they werent completely immoral Heath Ledgers Joker stops at nothing His goal is to make chaos and as a great butler once said Some people just want to watch the world burn which is perfect description for this character testing to see how even merely mentions of his future actions can drive the world into a craze,Positive
With this much money and this many iconic actors coming back you would think they could make something good What a complete  from the original movie It was just sad watching all of the new Jurassic series I wish the would start making movies like they used to Take risks hire people based on talent START with an excellent story Anyway do not watch this movie is you care about good story and good film making This movie was just sad and hard to watch It was all just pointless It was all just boring You didnt care Colin Trevor needs to stop being allowed to make movies He is probably one of the worst directors in the industry,Notr
I dont understand how any human being can rate this movie  stars Even if its the first movie you ever watched and cant compare it to any other movie how can you think its excellent movie The acting is terrible the animations are amateurish the plot is predictable and boring and some of it also makes no sense It was a complete waste of my time I was amaze to discover that the movie as a connection to marvel and to spiderman worldI hope for the good of all humanity they dont make a sequel I will support World War III just to prevent it Everyone associated with the film should feel embarrassed,Notr
This was probably the biggest disappointment in a film of my life It would of easily rivaled other movies based off classic toys and TV shows if it had a better director and was less corny All they had to do was make it pg and they would have been able to take out all of the parts that you actually feel embarrassed to watch and add fight scenes that were a little more graphic and realistic The acting was a little shotty in places but with a storyline this bad it wouldnt matter who was in it The worst part though was easily put on the director and producers Whether it was the obviously fake backgrounds or the fact that they developed and showed how the characters were so badly Overall they should try Dragonball Z again but should put on a little bigger budget,Negative
This movie is possibly one of the worst animated movies I have ever watched Whenever they cracked a joke it literally made me so uncomfortable that I was squirming in my seat with an upset stomach Nothing about this movie was original and the depictions of kids nowadays is entirely inaccurate Its almost as if the producers did no research whatsoever during production Warning if you watch this your mental health is at stake,Negative
They almost destroyed dragon ball I can just watch the first  minutes Everything is wrong in the movie I dont know where the  million went to Ive seen better effects in non budget amateur movies Goku a teenager Are we crazy Gokus never been a teenager Goku never went to school either And who decided to take out Krillin Whatever this could be minor problems if everything else was OK but is not the case Boring direction cinematography and art direction They just wanted some money and they made the movie without watching or reading anything of dragon ball Hollywood is having a bad time that proves itIn conclusion this isnt a movie is an abortion Well just have to wait until Fox takes this project to someone with a brain this could take  years,Negative
"I regret wanting to watch this movie when I was younger Since I watched it more I came to conlusion that this movie is corny in many ways
 Goku being an angsty teen is unfitting and this would fit Gohan more Minust angsty part Special effects are awful
 Voice acting is boring Writing in general gives me gonorrheaJust watching the rest of the movie feels like MKUltra psyop done by people who want to experiment on others to see their breaking pointIf you want to check out Dragon Ball franchise just read mangas or watch animeAvoid this at any cost I am too bored to give this movie a rating",Negative
Easily one of the best comic book films ever made Bale isnt great as BruceBat but his acting is on par However Heaths joker isnt an Oscar legend for no reason One of the best portrayals of a character of l time Up there with James Gandolfini as Tony Soprano,Positive
This movie was a massive dissapointment for the ages This movie looked like a movie that chopped up to get it as short as possible This cut is terrible and the CGI needs to be redone Sony has no soul and needs to do these characters right,Notr
This is like a movie you will enjoy if you turn off your brain for whole movie There is a lot of plotholes lots of things that is not really making any sense irl But i do like dinosaur so ill gave this a rather good review since i think of this movie better than another movie that just try to be serious but end in zonk I do like the funny iconic trex walk i find lots of scene here funny and laugh a lot because of this movie Its done its purpose of recreation The plot is so dramatic its amusing and funny I dont hate this movie but for real the dinosaurs really is not accurate If you want to enjoy turn off your brain for whole  hours lol D,Notr
This movie is simply amazing I loved every part of it Especially the poop jokesJust kidding The whole movie is a great big pile of Patrick Stewart When I wasnt cringing     Oh wait I cringed through the entire movie I mean the plot revolves around meh That is very risky and they blew it Do not watch this movie Not in the theaters not on redbox not even on Netflix where I saw it It wastes time money or both,Negative
I went into the cinema to see this film with sky high expectations given the domestic and international reviews of it Phrases like modern classic and landmark film made me think that I was in for something truly special in terms of film history along the lines of Citizen Kane and The GodfatherTurns out I wasnt well not all the way anyway I wont bother with the whole plot line since its very sprawling and complicated but suffice it to say that my main disappointment with the film stems from the fact that the thematics of the story simply are too limited and ordinary compared to the potential impact of the films gimmick the fact that you can enter somebodys dream to steal information or plant ideasThe plot revolves mainly around industrial espionage a theme which simply does nothing for me emotionally Who cares if one industrial tycoon wants to stop another The dream concept of the film is truly magical and innovative and is a very compelling feature of the film itself But why in heavens name marry it to something as pointless as industrial espionage What happened to something like the fight for world domination It would have given the film infinitely more punch if the plot had centered around some political intrigue in stead Especially given the unstable nature of the world today with wars in Iraq and Afghanistan huge climate issues and so forthThe subplot involving Leonardo DiCaprio and Marion Cotillards characters to me comes off very flat their on screen chemistry not being very strong This is a shame for the premise of the subplot has great emotional potentialAll in all somewhat of a disappointment despite the wallop one inevitably receives from the films take on the concept of entering someone elses dreams,Positive
This movie is awesome Besides jacks films I know nobody including my friends who think this movie is good Why People just say the movie is bad without saying anything about the movie that is bad The movie is funny and James Corden does a great job at voicing  I love this movie and highly recommend it ,Negative
This is the Best Superhero movie Ive ever seen It even introduced me to Christopher Nolan and thus I watched Inception and Interstellar two of the best stories Ive ever seen And also Christian Bale his performance is most definitely the best Dark Knight performance out there,Positive
I HATED the musical on stage when I saw it in  There was little plot most of the songs sucked and I was bored The movie has some of these issues but I ended up sort of liking it The makeup on the people wasnt that bad and everybody could sing act and dance Also there was some startling set designsit certainly LOOKED great I almost did walk out about  minutes in when a number with singing mice and tapdancing cockroaches Im not kidding started up but I stayed It got much better after that Most of the songs were unmemorable but I loved Mr Mistoffelees and of course Memory Also Jennifer Hudson was superb in her role She sang Memory so beautifully I started crying So its not a great movie but its certainly not the bomb people are saying it is,Negative
Terrible wish I could rate it zero stars They changed what the musical was originally about,Negative
I can not believe Hollywood even decided to make a live action of this movie to begin with The cast do not do justice to the animation Why cast a white person to be Japanese Thats extremely presumptuousThis is also one of those movies where its solely about special effects No real story and lack of character development I loved the animation and for them to rip the story apart is greatly disappointing I nearly fell asleep watching this junk Save your time and money and go buy the animated series insteadHollywood clearly ran out of ideas recently and are looking to profit from any idea Highly disappointed by this movie  avoid,Negative
When I saw how much hate The Emoji Movie was getting I decided I had to see it for myself to see if it was justified An animated kids film with a sizeable budget couldnt possibly be that bad right Wrong It is every bit as bad as the reviews suggestThis is by far and away the worst animated movie I have ever seen It has literally nothing going for it with everything from the plot to the script and characters being nothing short of dreadful As if the idea itself isnt bad enough they then have the audacity to stuff it full of product placement It angers me to think that people actually went to the cinema to see what is effectively a  minute long advertThe Emoji Movie is just another example of a pitiful Hollywood cash grab jumping on a social trend to make a quick buck It is insulting even to the young children it is supposed to please The worst film of the year by far,Negative
"Today was actually Batman dayliterally so they had this movie on TV
I saw it and liked it
The Dark Knight is well put together for any movie  Great acting from Bale and Ledger
Hans Zimmers soundtrack will keep you on your feet
As always  Nolans direction is as quirky as it getsThough I am not a fan I pretty much enjoyed it  I guess you will too if you are into superheroes",Positive
"Just a few points
Studios clearly too involved in the film feels like the films missing an hourShould have stayed a horror film as it was leaning into during the beginning but then just dropped it for an action movieCharacter has no real downside to ability especially compared to his comic originsThe action is a jumbled cgi mess of random slomos and distortion effectsR rated would have given ability to save this mess but studios chickened out",Notr
Perhaps the best movie I have ever seen Beautiful cinematography sharp writing deep character progression and most importantly a masterclass of acting Morbius is a brilliant concoction of all of the cornerstones of filmmaking If you have not seen Morbius  you are a loser and  you should go see MorbiusIts MORBIN TIME,Notr
Hiiii just finished watching the movie inception and i need to share my emotions with you after watching it Best film ever that i watched It was one of the best movies Ive ever seen Before seeing the film I read that the director was Christopher Nolan and the protagonist Leonardo Di caprio so I already knew it was wonderful Without spoilers I want to make you understand a bit of what its about is an action and thriller film lasting  hours and  minutes Talks about Dominic Cobb is a professional who takes care of extracting secrets from peoples minds while they sleep infiltrating their dreams through a special device that allows a group to participate in a shared dream Cobb and his team normally use tricks and deceptions to steal information from the victim who he believes to be in reality and suspects nothing Together with his partner Arthur tries to enter the mind of Mr Saito a powerful Japanese businessman to perform an extraction but fails when the dream projection of Mal dead wife of Cobb appears in the dream interfering with the operation I advise you to look at it very carefully otherwise you will not understand the ending well I think it is one of the best films of  because it differs from the others it is not monotonous in the plot and you can see that the director has perfected every detail in order to make it fascinating and moving I wait for you to see it and leave a personal comment,Positive
The first time I saw this film I said those three words a lot to my friends and family Shawshank Redemption is the BEST FILM I have ever seen in my lifetime I have seen tons of films Morgan Freeman gave a performance that will touch anyones heart From beginning to end this film shows how films should be made,Positive
Is a clear example of what happens when a project without ideas a lot of money is put For someone who watched the anime is insulting what they did with the story until the time comes that it is impossible finish the movie For those who have not seen the anime is a remix of teen movie ill conceived adventure heroes and villains unconvincing underdeveloped A watchable movie for children under  but if necessary it is better to make them see the original anime before this shame I could write endless tube faults the movie not only in history thats the worst that can happen to a fan of Dragon Ball but the script also poorly developed the actions run down and address unintelligible but it would be a waste of time It is best to pretend that the movie never existed,Negative
Choppy and lack of character development Protagonist vs Antagonist storyline that does not make sense Jared Leto is a great actor but even he cant carry this movie This played like it was written by a  year old child,Notr
This is awesome Never expected there would be another matrix movie I loved this movie and I would so love to see them make more If you are a fan then you will enjoy this,Notr
You cant blame people behind animations animations are great you cant blame voice characters but you can and should blame the worst screenplay ever This is horrible I have no idea can emoji movie be filmed in a different way but I know for a fact they have found and chose the worst way possible The movie is not funny or maybe it is for babies from  years old to  years old any older kids will vomit watching this This movie should be as an example for Film students how to not make a movie I cant think of any reason why they made this movie but yeah maybe thats why they made this movie to show students how to make worst movies ever Any Oscars for worst movie ever,Negative
"I recommend watching this movie only if you have too much grey matter and want to fry some of it off I could hear my brains cells dying during the movie a feeling I havent had since Sex and the City  
This movie is dumber than Sex and the City  that says it all",Negative
This touching and heart warming film is the most perfect celebration of the human spirit I have seen This inspiring story is interwoven with a soundtrack which invokes every emotion from haunting and chilling to stirring and beautiful When you go to see a movie and it touches you with its poetry music and its atmosphere and leaves you with a sense of victorious satisfaction it is a triumph Truly a masterpiece,Negative
Tim Robbins plays Andy Dufresne a man convicted of double murder who is sent to jail eventually befriending other lifers including Morgan Freemans Ellis Redding Exceptionally handsome adaptation of Stephen Kings short story Rita Hayworth and Shawshank Redemption in the film version its really Raquel Welch not Rita who aids in the ultimate twist On the surface its another prisongenre picture with the usual stereotypes such as a rotten warden a cruel guard a few homosexuals and a quirky oldtimer who doesnt want his parole However the films emotions run surprisingly deep justice is well served by the conclusion and several of the cast members carve out amazing threedimensional characterizations The finale is pure fantasy however it does provide the audience with the release it needs and Robbins and Freeman are excellent Long involved but engrossing and satisfying Shawshank was not a big hit at the boxoffice but found a devoted following on video and cable  from ,Positive
Acting is perfect Storyline is fantastic Overall an incredible instalment in the Batman trilogy,Positive
I have seen this update to the Matrix franchise  times and i understand why there are such low ratings First it takes  minutes to get cooking second its another femcentric film which i have no problem with there is a formulaic feel to all the fight scenes and keanu just wasnt there for this one All in all as a stand alone film it was thrilling to watch but also a let down,Notr
If youve ever wondered what would happen if you took a beloved highenergy anime and stripped away everything that made it iconic Dragon Ball Evolution has your answer The film feels less like an adaptation and more like a rough draft of a generic teen action movie that someone vaguely themed around Dragon Ball at the last minuteThe characters barely resemble their originals Goku is reduced to an awkward highschooler Piccolo looks like he escaped from a Halloween store clearance bin and the script seems determined to avoid anything that might actually excite longtime fans The fight scenes are bland the CGI already looked dated when the movie released and the tone wobbles between unintentional comedy and outright confusionIt purely earns its place as one of the worst adaptations of an anime because it is technically a movie with a beginning middle and end But as a Dragon Ball adaptation Its a catastrophe of missed potential questionable choices and outright misunderstandings of what made the franchise special,Negative
Best movie ive seenThis movie  years on is still first class,Positive
The Shawshank Redemption came out in  and was an absolute flop but found its real audience in home video peaking as the most rented video of  in the USA A wonderful film that takes you into the prison experience of RedMorgan Freeman and Andy Tim Robbins Andy being a banker convicted of murder and Red a murderer already serving time this movie takes you to the limits of human endurance where the human spirit eventually prevails The TSR takes you on an emotional journey that you will remember for a long time thanks to the superb crafting of the film and sincere performances by the cast The score is deep and haunting this film is for the ages and will permenantly have a place in my heart To me it is the best film of the s and quite possibly one of the best of all timeThe fact that this film is sitting at No is a testament to just how many people love this film many viewers seem to have an emotional bond with the film and I dont blame them I only wish that I could view the film for the first time again and experience that redeeming feeling Andy and Red experienced at the endIgnore the hype surrounding the film and judge it on your own experience the last half hour are especially beautiful Watch this if you already havent and enjoy the masterpiece that Frank Darabont has so gracefully given us the privilege of viewing ,Positive
At one point in the movie they were facing the firewall It was a pit bull song where it says Im a fireball when it clearly shouldve been Im a firewallOverall the movie was meh,Negative
I think the film is overrated i dont like it too much,Positive
I am stingy when it comes to awarding  points for a movie but in this case I have no choice Have seen quite a bit of movies over the last  years but none of them ever incited me to discuss it with my friends or even if they did not the way inception is doing nowPeople rave about avatar but other than the fancy graphics the storyline was very bland None of thats going to happen with inception From the start right till the end it will keep you wondering as to what might come next Makes you think as well You dont have to be super smart to understand the movie An average person will surely absorb it pretty decentlyLeo has been amazing as always Hes a brilliant actor probably the best currently Nolan and leo both deserve Oscars for what they have achieved here Levitt has been damn good The last I saw of him was in  days of summer Was pleasantly surprised to see him in a mature role Not sure about Ellen Page Nothing in her role made me say wow shes damn good She was okay Ken Watanabe was decent Tom Hardy was good I liked the way he portrayed being a more seriousjovial kind of person as opposed to how Levitt is especially allI am damn happy for watching the firstdayfirstshow for this movie Planning to go down and watch it again tomorrow Worth every extra penny i am spending on it ,Positive
I know everybody is saying how lame this movie is and that its nothing like the animethat everyone was out of character and that it generally suckedBut I beg to differThis movie is based on the graphic novelBASED ONso its supposed to be almost nothing like the movieI hate how everyone thinks that a live action movie of a manga is supposed to contain every single detailbut its almost impossible to get all that information in an hour and a half movieSo what do you do You make your own story so it can fit the timeIf the lord of the rings movies or harry potter movies contained all the details of the book then the movies would be  hour plus movies I thought it was an awesome movieIt didnt portray the actual mangabut it fits more the profile of a tribute to Dragonball So summed up this movie was a TRIBUTE,Negative
I saw this movie to see how bad it was and it was a terrible terrible mistake This movie is basically what would happen if you put Inside Out Wreck it Ralph crap garbage and an iPhone in a blender then put it it in the oven took out the result nuke it then put the ashes back in the oven and the emoji movie comes out Do not watch this movie Ever,Negative
OK no offense but to everyone saying this is stupid and who came up with this stupid idea  this world is dead Etc we are the world and we are the future if you think this movie sucked than do something about it and start using your creativity and change the future I thought it was OK for kids it was innocent,Negative
Its not as bad as I expected but its still pretty bad The humor is pretty crappy literally The romance is cringeinducing at best The plot is predictable and the characters boring The only redeeming quality the movie has is that its pretty short I would not watch this movie ever again and I would not recommend this cesspool of a movie to anyone,Negative
The story is just another below average although the few actors are good The special effect is just average but the stunts are poorDirectorship is below average this timeThe story should be rewritten because too common nothing exciting The director also did not make it good enough to be excitedI cannot give high due to the dropped standard from previous series The most is  only This is just another average movie nothing to get really excite and not worth top pay watch in cinema I only recommend to watch at home with a small charges if you are a fan,Notr
This movie is well ok Because if its lack of story and the action is Acceptable I give it  stars I feel like marvelor Sony is just trying to add more Villains for spiderman to have The acting is decent The cgi can get a bit shakey at some points but other than that it is ok The story moves very quickly and I felt like I was just thrown into a scenario that I had no background knowledge of Some good things about this movie though is the final battle Which has decent cgi but still it was kinda disappointing The thing that made me want to see more was the ending But yeah This movie gets  stars out of ,Notr
I dont normally leave reviews but in this case I couldnt resist there is so much hate on this film I grew up on seeing cats at London theatre and loved it this was a good representation of cats the ending was a bit weird Definitly worth a watch if you like the original cats,Negative
This is the worst movie Ive ever seen in my life,Negative
Flat out one of the best movies Ive ever watched Had plot action acting and was all put together perfectly Christian Bale was amazing and of course Heath had one of the best acting performances of all time Christopher Nolan is such a gifted director able to make this movie one of the best oat A must watch,Positive
Where do I even begin with this film The writing is just a rip off of other better movies characters are unlikeable the animation looks so cheap,Negative
I dont easily remember the names of actors of Hollywood movies neither do I ever take the time off writing comments on any movie but for this movie i have to do it allThe whole way of presenting this movie has been outstanding ie from the beginning to the end Great performances Tim Robbins  Freeman Qualifying as one my favorite actors The whole presentation has been very apt to the movie But what is important is the strong message this movie transcends ie of Hope is truly recommendableThis movie deserves an intent watch by all Do take you some time off to watch the movieif not twice be it once,Positive
There is no way Inception will be a bad movie because it was directed by Christopher Nolan There are many words to describe this movie and those are mindbending imaginative exciting overwhelming entertaining and awesome Inception might be the only movie this summer that has an original conceptInception is very unique and it is fresh to everybody The visuals were overwhelming The action scenes are awesome The CGI effects were realistic and eye candy The story is interesting and mindbendingThe performances were great Leonardo DiCaprio is still a great actor Tom Hardy and Ken Watanabe are one of the best parts of the movie Cillian Murphy is disappointing though Joseph GordonLevitts performance is flawlessInception is mindbending and nonstop entertaining Once again Christopher Nolan made another successful blockbuster Inception might be the best movie of the year,Positive
Before watching Matrix Resurrections I watched Matrix Matrix Reloaded and Matrix Revolutions I also reread Platos Allegory of the Cave and commentary about knowing if we were shadow followers or notI watched Matrix Resurrections with an open mind and paid more attention to the dialogue I enjoyed the action and the special effects as well As I watch major themes of truth reality choice peace and love played out The questions posed throughout the movie will always be asked What are you looking for What do you want Who are youMatrix Resurrections provides answers to questions raised in the earlier movies and raises new questionsIn order to keep balance and harmony in the world we need to be engaged in dialogue with each other learning what reality is what truth is what peace is and what love isMatrix Resurrections provides a framework for us,Notr
Just the think of the professional cast and the high budget that was poured into this film made this joke even funnier  for making me laugh so strongYep Reviews on IMDB were right I needed to verify it myselfIts like watching a long commercial break with cats promoting different products and wishing the break will be over as soon as possibleFor  minutes its pretty funny After that not so much Laughs are replaced with a feeling of torture I would play this movie  times to my worst enemies,Negative
The Emoji Movie will go down in history of one of the worst things ever made but suprisingly Ive seen worse if you value your sanity never watch this,Negative
"The day after my friends showed me this movie at their house I considered suing them for reckless assualt of the senses and permanat loss of intelligence
The emoji movie is horrible in every single way Its themes ofemotionI guess make no sense the characters are litteraly are  demetional BY DESIGN the story has no stakes or direction filled to the brim with shameless product placement incredibly cringey unfunny creepy humor and forced writing that had us all yelling at the TV It all goes nowhere yet is still totally predictable What is this garbage
Its not even bad in a good way ie you can laugh at how bad it is Its a zero effort cash grab that proves holleywood can spit in our faces laugh take our money and suffer zero consiquence Stop seeing these types of movies even ironically Everyone who worked on this should be embarresed and ashamed of themselves",Negative
As a fiction writer I very much enjoy creating stories worlds and trying to keep everything tied together ITs a great challenge Christopher Nolan is a genius at creation His movies are groundbreaking and Inception is just another one of his phenomenal creationsThe first  minutes were tough to figure out but later you understand how those scenes were relevant to the story and the rest of it really wasnt that hard for me  it made sense The score was fantastic  I noticed that Nolan loves to infuse music into the film almost the whole time rather than in key moments It adds to the drama  I like itThe acting was very strong Leo is a talented actor and did his thing in this movie The rest of the cast was strong also but I dont know if any of them will win major awards  except maybe the exwife She was great Nolan used a couple of actors from the Batman movies in there  that was interestingOne flaw I could pick on was that it wasnt clear what anyone elses motivation was to finish the Inception job Clearly Leos character had a goal but I couldnt really tell why the others were so loyal and accommodating Maybe I missed the monetary reward offered The reality bend in Inception was done to perfection Rang very similar to Eternal Sunshine of the Spotless Mind in that regardThe movie was gorgeous to look at The style was similar to his other recent films  and thats a very good thingAnd the ending What can I say it was one of the most satisfying endings Ive ever seen I walked out and just nodded my head Yep Very nice Extraordinarily well done film,Positive
Pretty disappointing I guess its just hard to come up with something as good as the original Either was sort of boring exposition or just some action that didnt do anything new All the slomo visual effects felt lazy blurry and cheap Like they just pushed a slowmo button but didnt do anything new like the original did Neo just had so little to do or say and even Trinity didnt have much going on either for being the centerpiece of the film Just Meh Id rather just go and watch the Original or even  before watching this one again Bummer,Notr
I absolutely love this movie I watch it on Netflix every day before I go to bed to have sweet dreams about all the characters Such an advanced and compelling story my mom loved this movie and bought me a whole bunch of merchandise Ive made so much fanart for this movie and the sick dance moves I got from the just dance scene When me and my fam go clubbing we got our sick Emoji Pop dance moves to flex on other people in da club This movie has made my life so much better Ill always have a crush on Gene The Emoji Thank you Sony I love you  ,Negative
Awesome Movie Great Story Star cast is so Good Story is best Background music is narrow good best awesome superb No words to explain Awesome Movie Great Story Star cast is so Good Story is best Background music is narrow good best awesome superb No words to explain Awesome Movie Great Story Star cast is so Good Story is best Background music is narrow good best awesome superb No words to explain Awesome Movie Great Story Star cast is so Good Story is best Background music is narrow good best awesome superb No words to explain Awesome Movie Great Story Star cast is so Good Story is best Background music is narrow good best awesome superb No words to explain,Positive
Dragonball has been around for  years nowit has become a cultural icon and one of the popular things just like PokemonPower RangersYu GiOhetcPeople who love Dragonball can make a better movie than the terrible movie Dragonball EvolutionThe guy who plays as Goku Justin Chatwin seems like a miscast because his acting as Goku seems nothing like himTh movie seems like it was trying to make a movie franchise out of the movie and change a lot from Dragonball Like how Goku does not have a tailKrillin is not the best friend of Goku because the movie made him an outcastBulma has one small streak of hair to confirm she is BulmaGoku is madly in love with ChiChi even though in the show he doesnt know what being in love is likeand most of the characters and history in the movie is nothing like DragonballThis movie is definitely on the list for worst movies ever and worst adaptions ever,Negative
The movie is a  however one has to acknowledge the skills and hard work of those involved with creating this visual masterpiece The story wasnt much but I suspect the makers had a larger audience in mind considering schools out and kept it simple,Notr
Ive watch every jurassic movies  I love every movies but there is one problem that is same story I mean by putting og characters doesnt mean that this movie best ever Now  first I will talk about positive things  Nobody will gonna accept that it has very good VFX  it gives reallastic shot second new dinosaures and third that featuring kiddnapping of bluechild  Now  negitave weak polt  same story and predictable action and climax  So if you are interested to watch the flim  you can with your family and dont expect any new thing I am thinking that the makers wanted sequel or for timepass,Notr
DragonballEvolution is adaptation of a graphic novel made by Akira ToriyamaDragonball achieved worldwide glory as a cartoonbut the movie did not repeated the success of the cartoonWhyThe answer is pretty simpleMost of the people who have watched and reviewed this film are fans of the cartoonThis adaptation is not bad at allThe actingdirection and the script are pretty decentand special effects are very goodI think that if you have not watched the cartoon there are greater chances to like this movieIt is not very intelligentbut it can be decent entertainmentespecially for young boys who love the world of fantasy and actionFor adults it is recommended only if they want to escape from the real world into the world of fantasy,Negative
If cancerous memes were a film this would be that film Harambe Bad Luck Brian and that ermahgerd girl wouldnt look out of place in this film because all it is and could realistically ever be is an attempt at relatability and absolute filthy pandering to a younger audience than those who could possibly understand a hidden agendaIm pretty sure this film is a blockbuster classic in another universe one where Trump is a good man and Obama was born in Kenya Thats right Opposite Universe which is ironically a film I would rather watch than this crock of memedustI needed to take  scalding acid showers to forget this film and this review will cause me to take a couple moreEw,Negative
When Batman Begins was released in the year  I watched it and wondered seeing the ending scene where the joker was revealed to be the villain in the next installment of the series that well how Christopher Nolan is gonna incorporate the funny playful and completely insane character of the Joker in to his dark and serious version of BatmanSo when I went to watch this movie I was ready to see the Heath Ledgers Joker cracking some jokes blowing up lots of places killing tons of people going way beyond insane and of course laughing a lot But the joker I saw was rather just the opposite He did blow up buildings he did kill people he did go insane and laugh but he did all of this with a motive and a touch of control and calmness to itIts been a while since I have seen a movie where the villain shines more than the hero and in this movie Heath Ledgers Joker completely stole the show Everything he does seems reasonable and the things that he says feels honest and true The movie grips you throughout its min runtime Christopher Nolan nailed it and showed how comic book characters can be taken out of their colorful world put in a dark and serious movie and make it work Other actors also played their part well Christian Bale was good as BatmanBruce Wayne Aaron Eckhart was brilliant as Harvey Dent Gary Oldman Maggie Gyllenhaal Michael Caine and Morgan Freeman played their roles beautifully This movie is one of my favorite movies of all time For those of you who havent watched it yet I recommend you watch it as soon as possible because this kind of gems come rarely,Positive
This movie is garbage horrible nothing like the anime,Negative
