Reviews,Mood
Mixed bag of greatness and mediocre A really enjoyable blockbuster for what it is has some poor dialogue in some scenes and a little cheesy bits with the boss of Bryson The cast though is excellent cinematography is amaze balls and theres plenty of awesome high budgeted action sequences throughoutI loved a lot of it though I must say its great fun especially in IMAX There was even a great QA I got to see was silly when someone said finally when that ended I was thinking why pay for the longer version with extras if you dont want to see that aspect some dont make sense I crave any special feature Id work on film if I could and Id say Jurassic World Dominion is a worth seeing,Notr
I absolutely hated this film legacy characters used as bait for box office numbers a horrible plot that makes the incredibly long runtime absolutely insufferable The actors arent at fault the visuals are good as you might expect from a movie this expensive but the script is atrocious and the epic conclusion is not very much a conclusion the main issue is not solved and everything that was wrong in the previous films is just elevated in this film absolutely terrible film dont watch it,Notr
So it wasnt the best Jurassic movie  that will always be the original and best but it was choc full of dinosaurs some old some new and the two casts got together  it was just good fun and I believe they wrapped it up well,Notr
Lets face it it could be better Not the best Jurassic movie but yet I liked it Im a big fan of Jurassic park and I was really happy when they announced the Jurassic world My childhood came to lifeFor this movie I knew it wasnt going to surprise me but I wanted the end I wanted to say goodbye to my beloved dinos And even it wasnt the best I was pretty satisfied I think we got a lot of closures Maisies origin much more dinos than ever old actors back together and their own moment D and I was really glad for Henry he always wanted to do something incredible and most of time it didnt work but this time he gets his redemption Overall its not the best but it did make my heart flutter one last time Still loves the franchise and I hope for those who loved the original trilogy will find the same satisfactory like I didLife always finds a way this time we were given coexisting world when dinos live with us I dont know about you guys but I was more than okay with the ending like this ,Notr
Was it perfect No Was it as good as the Original No Was it a fun film that you could just sit back and enjoy Yes The tension and thrills as well as a solid conclusion to all the characters new and the old ones that didnt get a decent ending in the original trilogy made it enjoyable enough The dialogue was poor at times there is no denying it but overall solid action and conclusive,Notr
This latest Jurassic installment doesnt bring much did the table that we havent already seen before While it was nice seeing the original characters reunite the film lacked any sort of charisma compared to the previous films Not even ONeill Dern or Goldblum could elevate the material Lastly the dinosaur battles felt pedantic and uninspired Overall no great Spielbergian Whoa moments ,Notr
Jurassic World Dominion feels like it became a selfparody during the first act of the movie Sure its nice that theyre referencing the past movies in kind but the lapses in logic the annoying deusex machinas at play the apparent brainlessness of some of the characters and the dinosaurs becoming part of Earths everyday socioeconomic hemisphere it was a wasted opportunity and felt like a misleading tease from Fallen KingdomThere was potential here uniting two generations of Jurassic Park casts uniting the dinosaurs in their fight for survival and maybe even showing the fallout of such a situation where dinosaurs now actually coexist alongside peopleThe Jurassic franchise has definitely exhausted all possibilities at this point in time but I think we KNOW Universals are least considering another sequel to this conclusionWhat next Jurassic Stars Where they take the dinosaurs literally to outerspace or something At least thatd provide some more ironic entertainment and become a midnight movie phenomenon,Notr
This is the first of the JW trilogy that actually resembles the legendary brilliance of the original JP in certain forms While it still does suffer from certain clichs and scattered random plot choices its definitely the most chaotic and entertaining since the original The dinosaurs are more fearsome than ever and definitely make the ride that much more intriguing with cgi that is highly precise The old and new cast blending works fairly well Though can be somewhat forced at times with the comic relief The original actors definitely add that bit of fan service we all know would come along with them I still dont think this trilogy was as good as it couldve been it does close out in a very solid fashion,Notr
I enjoyed the action little jump scare and the og characters Also lived the new dinos and characters I wish people appreciated movies more I really recommend people dont listen to the bad reviews caie you might enjoy it,Notr
Felt awesome sounded awesome what else do you need If I had to criticize a bit our main characters didnt feel like they were the main and also the movie could have been a bit shorterI cant wait to own this on K And if I had time Id definitely like to watch this once again in cinemas,Notr
This is my least favorite of all the Jurassic movies The original was excellent and fun This was an excuse to have a reunion The movie cant stand on its own I watched it with someone who had never seen any of the previous Jurassic movies He didnt get it I thought we were passed films that allowed the stars to keep their makeup on after swimming through algea covered ponds Not even camp enough to be fun,Notr
I thought this movie was a seven average Ive seen better Jurassic Park movies fallen kingdom is better I thought that the storyline was a bit lazy but I quite enjoyed the way that this was presented I thought it was rushed other than that its a seven for me and thats being generous because I thought it was okay I didnt think it was pulling up trees I thought they would be a lot better than what it was I was quite disappointed to be honest I should rate it a little bit lower because the seven is being generous but I quite enjoyed it and it was okay I didnt mind it could be a lot better than what it was,Notr
The movies plot doesnt feel contrived While it may be simple and predictable for those of us whove watched hundreds of movies those that have not aka children love the movie The jump scares work the threats seem real and the acting is top notch Yes the actors did amazing given what little they had to work with in a movie about dinosaurs in real lifeCheck your suspension of disbelief at the door and have fun reliving your childhood or creating new memories watching a Jurassic park movie for the first time,Notr
A passable film as far as visual effects are concerned but the story and characters are both underwhelming For me it is the worst film of the saga it does not reach the sufficiency,Notr
The new Jurassic World movie has got to be one of the worst big budget hollywood film I have seen in quite a while The old returning actors are not enough to save the clunky dialogue or the absolutely pointless story here As a conclusion to this trilogy it fails in a majority of areas Worst of all in addition to being sloppily put together is its beyond derivitive I honestly feel like Ive seen the majority of these story tropes used in a vast catalog of other much better films Also it has one of the worst villians Ive seen put to screen His acting and the dialogue for his character was about the equivilant of a  year old throwing a tantrum Beyond annoying and even more unrealistic The special FX werent even anything awesome just more of the same However I do have to give it up to the team that did the creature designs for the practical FX those were more impressive I would recommend waiting for streaming it wasnt even worth seeing on the IMAX as the majority of scenes were not worthy of the scale  a dino out of ,Notr
I really liked this one A nice hommage with its own style Old school summer blockbuster with an interesting story and great dinosaur effects both practical and digital Just sit back and enjoy the ride,Notr
Now I said it already  best Jurassic movie so far  and ok Ill happily admit I didnt have too high expectations because I didnt like the previous two installments much tbh but this one at first I was thinking pretty slow start followed by but hey theyre actually building up a pretty good story that makes me care about what happens to the characters next and with a drive of a star wars or James Bond movie keeping your attention and with pretty good CGI supporting the story not the other way around No honestly this felt like a more mature Jurassic movie compared to previous ones I really enjoyed this one and left the movie theatre with a big smile on my face  this is what a night at the movies is all about,Notr
Spinosaurus is the largest carnivore then Giganotosaurus but despite the movie being wrong this movie was weak in all aspects Of course I expected some wokeness in the film Jeff Goldblum was the only reason I watched this Only the first two Jurassic movies were good  was ok but too short  was the shortest of the series but it was cool to see Spinosaurus  was mediocre  should have ended there   this one was trash,Notr
Ok I understand why this movie may frustrate some people I was a little bit disappointed myself but I still had a great time with this movie First thing I hear when the movie was done was Top Gun  was better Jurassic World Dominion is not Top Gun People are just mad that it wasnt as good as they thought it was going to be But you should enjoy the movie for what it is it still had great characters and great dinosaur sequences so this movie is not bad you should have a fun time at the theater,Notr
Its an absolute wowPainfully cheesy repetitive as the drumming of a woodpecker script recycled from a hundred movies before and once again over the toppish CGI How many old and new monsters can you cram in Just about as many as old and new actors to awoke that fuzzy warm feeling you had when first watching Jurassic Park three decennials agoCould I conjure up anything good here I kind of like that Malcolm character and Jeffie does him quite well but its just not near enoughIt took absolute determination to get through the whole movie without putting it on x Man Hollywood is reaching new lows by the number,Notr
What a horrid movie One of the few movies that unfortunately made it in the  billion dollar club Jurassic World was fun despite its flaws Fallen Kingdom was just kind of eh but this is an absolute disaster Its just sunk down a downward spiral that leads to hell Its bad enough to the point Im pretty convinced it was made more for money than it was for an actually good movie and thats sad I dont care for this movie or this franchise anymore the creative team leaders certainly didnt so why should I One year later and nobody talks or cares about it But sadly people will take advantage of the money they made and make some more Jurassic Park garbage Why did people flock to see it WHY Everybody Ive talked to who watched it instantly regretted buying tickets for this and not some other movie What a piece of garbage,Notr
"After reading all the negative reviews watched Jurassic world dominion without any expectationsI watched in D IMAX
I quite liked the movie not as bad as the negative reviews Definitely a one time watch",Notr
This movie spends about  of screentime building the environment and story I wouldve rather the movie be about an hour longer to actually do what I expected from it,Notr
Jurassic world dominion tries to do everything because it wants to please everyone and get all thz ticket sales in the process Since thats impossible it settles in mildly reaching all its goals and therefore I couldnt think of a possible better score than the enormously mild six out of ten And now I will further accommodate this review by words that mean absolutely nothing as to accommodate the obligatory  signs that ate mandatory by internet movies database review laws Whe I end this here sentence I might reach said mandatory signs and be able to post this here review I wish all of you a good day,Notr
This is like a movie you will enjoy if you turn off your brain for whole movie There is a lot of plotholes lots of things that is not really making any sense irl But i do like dinosaur so ill gave this a rather good review since i think of this movie better than another movie that just try to be serious but end in zonk I do like the funny iconic trex walk i find lots of scene here funny and laugh a lot because of this movie Its done its purpose of recreation The plot is so dramatic its amusing and funny I dont hate this movie but for real the dinosaurs really is not accurate If you want to enjoy turn off your brain for whole  hours lol D,Notr
Jurassic World Dominion offered a different but enjoyable twist to the usual direction taken in the franchise The impossible notion that dinosuars are something that can be introduced to everyday life is what makes the film truly unique Aswell as this it removes the thrill of seeing the dinosaurs because weve become accustomed to them after multiple movies It is difficult to keep the enthusiasm everyone held for the first film once you repeat the same formula again and again As far as Im concerned they just about pulled it off The only reason I managed to find a little enjoyment out of the movie was because I was surrounded by friends who were genuine cowards Personally I wouldnt watch again but Im glad I did with the people I did,Notr
Wow foiled again a movie from my youth gets a long awaited follow up it has a great cast with some familiar faces a big budget so theres action galore and some wonderful music but a plot a plot that could have been written by a random stranger walking past the studioHow on Earth is it possible for such a film to feel so vacuous so empty this film made me feel nothing other than boredom  that could have been used on so many other thingsIts not ok these days to simply try and dazzle us with some awesome visuals there needs to be some sort of plot but there just isnt one in simplistic terms it asks if man can live with dinosaurs but of course you know whats going to happen Some of the visuals are great epic some scenes thoughdid they run out of timeChris Pratt didnt do it for me the old cast tried but it felt hollowLike the dinosaurs themselves this franchise should have been left in the past ,Notr
Jurassic World Dominion is a step up from some of its immediate predecessors The plot consists of two stretched out intertwining arcs which separate the original cast from the more recently introduced characters The film does not fail to deliver for what its worth entertainment However its a few dinosaur steps down from the franchises legendary start,Notr
The first Jurassic Park was a classic this one is not even closeThe scriptwriting and directing were atrocious  how could they release such an unfinished product Its painful to watch now that Ive seen it all in person because there are some truly cringe worthy moments where you cant help but say wowthey really missed the markCant believe I wasted three hours of my life watching this garbage The acting was terrible the plot was nonsensical and the special effects were laughably bad is shaping up to be a pretty terrible year for movies This has got to be the worst one yet,Notr
Amazing to see the original cast back in action they nail their roles and paired well with the new leads A few decent newcomers to the cast as well However the storyline is tired  all of it been there done that from the dinosaur fights to genetics nothing new,Notr
The plot was a mix between Mission ImposibleStranger Things  two different teams teaming up at the end and some Jurassic park at the end So it was the multiverse of no plot so badly written that I wonder if I could do better with the same budgetIts sad just sad and boring,Notr
What an abomination Not a single scene that doesnt have a problem or contradiction with logical flow Hurt to watch until giving up after  mins in,Notr
Jurassic World Dominion is a film that never takes off filled with inconclusive subplots ugly dialogue uninteresting characters an unconvincing plot and a really bad montage of the film,Notr
I have no idea where to start Bad script bad acting bad direction BAD special effects original was better It was like watching an episode of Scooby Doo where they battle dinosaursbut not  hours long Justdont bother,Notr
There was good VFX beautiful scenery and they didnt compromise to show dinosaurs but the story line was not up to the mark as it lacks good content and talking about thrill in jurassic Park movies should be must but this movies lacks in that too,Notr
An absolutely appalling sequel There is no discernible plot or story line It is nice to see the original actors but I wonder why they signed up to this Why on earth was this made obviously just a money making exercise although I suspect not much money was made This should never have been made It demeans the whole franchise No More Please This movie is total barrel scraping I would not recommend anyone to watch it The acting is wooden and the scenarios are stereotyped and repetitive Thank goodness I did not spend money to see this at the cinema General verdict  dont bother  this is a waste of time,Notr
Jurassic Park is a movie that I rewatch again and again and the believability factor reigns supreme Unfortunately with this I switched off from the very beginningPros Jeff Goldbloom Sam Neill somewhat nostalgicCons So many continuity errors entomological inaccuracies scientific inaccuracies no flow chaotic story telling such a tendency nowadays to overstimulate the audience rather than captivate them poor acting,Notr
I loved this movie In my opinion it comes in nd after the original Jurassic Park Its a dinosaur movie for God sake what are people expecting I loved the return of the original cast They were in the movie more than I expected Its slow to start but once the storyline merged the two sets of characters it was fantastic I am ready to go see it again,Notr
Ill be honest here I went into this movie with low expectations this is because I read some of the reviews about how rubbish it is and how its just a cash grab But now that I have seen it I can proudly say it was a good movie and ending to a franchiseBut I will say this there is so much plot holes in this film so if your going to see it just for the plot you will come out really disappointed Its a leave your brain at the door film Just enjoy it for what it is,Notr
Its time to end the Jurassic franchise This movie is just more of the same They added giant locust in this one so theres that But really there was no reason to make this film Its the same dinosaurs The same dinosaur sounds The same running jumping climbing swimming and hiding from dinosaurs The same dramatic drawn out camera angles on the actors faces as they look either scared concerned or allknowing before scrambling to safety just in the nick of time There was no real suspense because we knew our main characters would make it home safely If the creators are insistent on making ANOTHER Jurassic film please update the formula,Notr
Dinosaur movies that are not fun great visual effects but that do not give emotions even the characters and the story of the film are not convincing An insufficient film,Notr
Jurassic World Dominion is an entertaining movie whose script is full of fanservice especially for those like me who loved the first movie its quite nice to see Sam Neill Laura Dern and Jeff Goldblum together again In terms of logic the script has many flaws that are justified by the science fiction theme that the film touches on The soundtrack is good especially the theme used in suspenseful scenes The cinematography is powerful and provides some great visuals The performances are good and the director does a good job An entertaining movie but with nothing more to offer,Notr
Two and a half hours too long Worst ending to one of my favorite franchises Do not waste your time or money Zero redeeming qualities Complete garbage,Notr
No matter what peoples have said about these Jurassic World films i have enjoyed these so muchThese brought piece of my childhood backI just love dinosaursThis was great ending to trilogyThis brought back old and newI really liked how this film started with multiple storylines about different thingsAnd how they connected one by one so nicelyMore about ethics of prehistoric species in our modern worldSome really good science fiction stuffGood actionGreat visual effectsOverall well made filmBut most importantly so many different dinosaursAnd this one had so many new speciesI was impressed that im still able to recognize so many of themAnd of course there is my childhoods favorite one GiganotosaurusI really felt like i was child again while watching this filmAnd of course old faces from Jurassic Park meet new charactersThis was just greatLot of fun momentsSo entertaining,Notr
This movies plot makes zero sense people go back and forth to far off locations in no time and also dinosaurs inconceivably show up in logistically illogical places They dumbed down the OG cast and gave them barely anything to do The whole movie is just a mix of predictable jump scares mixed with Fast and the Furious like action scenes that does nothing to the plot,Notr
Absolutely loved this movie Great fun to see with your kids and felt so good to see the original cast again Lots of tongueincheek references for those of us who know the first ones by heart Now Its not perfect but then it isnt meant to be Watch it for the fun the action the magnificent dinosaurs and brilliant chemistry between the cast members Dont forget the popcorn,Notr
"Not nearly as bad as some people are making it out to be There is too much action and a lot of it is ridiculous There are too many characters and not all the performances are great The story is somehow both simple and complexBut this might is genuinely fun There are some cool dinosaurs new and old While some callbacks are a bit heavyhanded most are pretty light and enjoyable Big improvement from Fallen KingdomHeres the definitive ranking of the movies for reference
Jurassic Park
Jurassic World
Dominion
JP
Lost World
Fallen Kingdom",Notr
What an insult to Michael Crichtons original work Its sad that this is how the franchise is put out to pasture but thankfully its overIt Is Done,Notr
I just dont get it Ive just seen it and was actually reluctant to go after reading quite a bit of negativity about it BUT its actually not bad Its a solid  I was entertained the set prices were great and the old and the new cast blended well Go see it expecting to be entertained and youll have fun,Notr
We get a final gathering of all the familiar faces in this maybe final episode Its a lightweight feelgood movie that focuses on the core elements of what made Jurassic Park so great Without annoying child charactersAnd the new reality exploring the consequences of dinosaurs coexisting with humanity offers something we havent seen yet Its not as thrilling and doesnt have these inawe moments But thats OK Its still a great adventure in the Jurassic Park universe and a fine end for its legacyThe CGI was great most of the timeWith its fine balance between nostalgia and innovation its a recommendwatch for fans of the series,Notr
Its amazing to see the original cast of Jurassic Park and Jurassic World Its like a reunion adventure movie I was expecting a more in depth connection of those characters but seems it gave us a small treat or preview only given the run time they could combine more further Nevertheless it was a great movie to see especially to those Dino fans like me,Notr
Wasted  hrs No story line Forced characters Doesnt make sense Revisiting old scenes were awful CGI is too game like I remember watching the st Jurassic Park as a kid and thought the T Rex was going to jump out of the screen Overall one of the worse movie Dont waste your time and money It felt like a money grab by these movie makers exploiting a good classic movie How much more can they milk this,Notr
The first half was slow which made me slightly bored but the second half which was action packed made up for it They bring back the og trio and they along with the MCs do all they can to stop the villian from gaining total control over the food economy of the world,Notr
Ok plot wise this movie is bad and has a bit of a slow start however the action scenes are fun if not a bit Predicable but being the th movie they are out of ideas so you can enjoy the movie if you focus on the Dinos which do not disappoint In the end it could be worse,Notr
Result of Poor writing  Only thing that satisfied me was action sequence before the interval  it really gave a seat edge experience  other than that whole movie was underwhelming  Script was too weak and lame  Except few places  film majorly missed the engaging factor  First half was slow and second half was predictable and boring  hrs mins was too long  literally tested my patience  Cast done their job  Technically visuals were good  Editing was inferior  Overall  unexpectedly a disastrous end to Jurassic saga  Watch at your own risk ,Notr
New and interesting stories intertwining plots throwbacks to the past movies and books action comedy new dinosaurs to live action and the classics dinos,Notr
My review is  so I feel I can say anything I want because who on earth is going to see this oneThis was the most exhausting movie Ive watched in recent memorySo many chases  all with animals of course Dinos The first hour had so many nonstop chases that it was actually exhausting to watch Id have to stop and go do something A little bit of this a little bit of that Then back to the chase If it had a motorcycle in it it was Chris PrattThere was one scene that was very much like the bar scene in Star Wars So all the big movies now are borrowing from Star Wars If Tom Cruise in Top Gun  could do it then so could they Itll be interesting to see how many more movies copy Star WarsThat said one can only hope that if enough of us point out that we actually see their plagiarisms and call them on it maybe we can get some original movies out of Hollywood What a concept,Notr
I WISH they would have kept the show focused on Chris Pratt instead of doing equal time to all these other characters You can definitely tell Hollywood to cramming all these female actors down our throats FINE But THIS movie started Chris Pratt Im expecting to see mostly Chris Pratt Ugh Show up an hr into the movie and youll be fine It was more of a mini series crammed into hrs and it didnt work Should have kept the focus on the main character and his relationship with Blue and her baby If you have nothing else to watch and its really hot where you live right now AND you need a good nap go see it ,Notr
This is just bad enough to make me write this reviewSo bad that made me doubt if the first ever Jurassic Park was even overrated You had all the topics actors and nostalgia and you still screw this up this bad I am sorry but Colin Trevorrow really failed not just this movie but the entire franchise Money back requested,Notr
I dont know why everybody hates it I will agree the movie isnt as much about dinosaurs as it should be and its more about that girl but I still enjoyed it Its nothing special but still a good entertaining movie,Notr
I dont understand this dont they watch their own movie before release The script is bad director was worst editing tried to save some of it but no I will not watch this ever again I dont recommend it Dont waste your time or money go watch the first jurassic park again What a waste Fx are great but with that kind of money it has to be  nice moments cant save the film Why would you do this,Notr
"Id give it an 
Its got flaws of course but the film is amazing Beautiful landscapes and sceneries very good use of CGI and animatronicsOriginal even even if many didnt appreciate the new plot and ideas I did very much Its more in line with what Michael Crichton wrote in the first few pages of his novel Jurassic Park",Notr
I heard mixed opinions before going but having seen the franchise from the beginning in Was only right to go seeNot sure about the reviews of s  s but it held my attention with plenty of action and good set pieces Dinosaurs looked great and some great jumpy bits No spoilers  But Ending could of been better but overall decent watch,Notr
Jurrassic Park was a Pop Culture masterpiece Sequels will not recapture that initial magic However I found Jurassic World Dominion fun and satisfying for the most part It was great to see the union and reunion of past and present characters There were nice character arcs and cool dinosaurs and action scenes Thats all I needed Im not sure why the critics raged it so poorly Most average viewers enjoyed it Just enjoy it for what it is,Notr
Do not reminisce over the old jurassic park movies Watch it with a fresh perspective and it will be very entertaining Old and new characters and scenes are combined in this movie to make the franchise go out with a bangIgnore the other reviews It was a good movie,Notr
I have been a fan of this series since the first trailer for the original jurassic park came out So every sequel I have expected certain things or the story to explain more in the past park and characters This film delivered on some of them but opened more questions As an adult I wished the film was longer and certain things could be explained more but it felt like the studio made the director cut alot out for timing purposes to get more showing in the theatre However this is still a good movie and I am lucky to have been a child when the first one game out and now being a father watched this with my two sons They loved this movie saying it was the best They loved the Dino action they loved all the character returning and they wanted more and hoping for more jurassic films This is a Dino movie and children love them Ignore what the critics are saying and if youve got kids go and see this movie Its enjoyable and worth a watch,Notr
Another prime example of Hollywood recycling the same script over again and marketing it as a sequelImpossible to post spoilers everyone knows this storywe saw it twice beforeSame misguided greedy scientist same safe remote sanctuary same black market same heros in car in sanctuary with TRex scratching the paint Toss in a female lesbian likes redheads too black with a few rainbow patches and you got yourself a new movieEven the little bit of new scenarios added were poorly written with inconsistent timelines your mother had a genetic disorder she found out AFTER you were bornNext lines do I have this disorder No your mom altered this out of your genes so you would not suffer the same fate Wait what You just said her mom didnt know about her genetic disorder until AFTER she was born Guess mom invented a time machine as well How does blatant mistakes like this make it past editingI tell me friends to skip this one you already saw it,Notr
The people who wrote and directed this should NEVER BE ABLE TO write andor direct another movie again Colin Trevaro and his fellow writing goons are an embarrassment to hollywood and an embarrassment to cinema I normally wouldnt review a movie on here but I signed only so could leave this review its that BAD I felt like I had to I felt that passionate This movie was a worthless embarrassing piece of garbage The people who made this and the Jurassic World Series destroyed a legacy and that a beautiful one made by Steven Spielberg and his team This movie and the entire Jurassic World series need to be erased from the Jurassic canon And Colin Trevaro and the writers he works with need to be banned from making movies What a joke What an absolute joke,Notr
Incredible movie It has emotion nostalgia humour and is just a great film overall The addition of a new cast of dinosaurs combined with a much different storyline keeps things fresh but the inclusion of original cast members throwback scenes and nostalgic item inclusions gives that true Jurassic Park feeling,Notr
That scene with Chris Pratt with his hand out and Blue with its baby Thats exactly what it looked like to me Good blue roll over Im being generous giving this movie three stars out of  What was that madness What a ridiculous way to end the Jurassic Park legacy Coexisting with a planet of dinosaurs I cant imagine anyone being in a theater subjected to that mess Cocaine is alive and well amongst the writersAs I watched it all I could do was try to relate to it as a Hollywood cartoon or animated fantasy just to give myself a reason to keep watching it The level of melodrama was astounding At least in the original Jurassic Park there was an air of possibility Michael Crichtons story True wonderment,Notr
A not very funny and too long film the script does not shine and the characters neither A big wasted opportunity a mediocre short film Jurrrasic World disappointment,Notr
The only momment satisfied me was that seeing Dr Grant and Dr Ellie together again everything else just was unbearable the lazy scripting poorly written conversation overtheplace film flow lame music superhero character cliche action random  lack of coherent cut scences like you put all materials of JP  JW mix them all together and hope new movie finds a way No just same thing but different labelling number What is the good VFX for if the story does not tell the storyCould not belive they can do this to their fans Contradicting to the promise of the director this final chapter delivers nothing but disappointment and anger I respect the crew cast and all the efforts they put into making this but to me the movie is a flopWould not recommend to watch in theater Big no no,Notr
Fun movie dinos eating people little story in there action sequence were great but story felt plausible and rushed Great to see the old school introduce to new school and a few surprises thrown in not what I thought it was gonna be but not as bad as lost world just get some popcorn shut off ur mind and have fun,Notr
This movie is an outrage to the original workI mean everything that is beautiful and astonishing in the Jurassic Park concept is completely absent in this filmThey actually shot a movie that looks like it came out of the monsterverse but of poor quality taking out the dinosaurs and adding random stuff If already in the first two of the World saga the creatures have completely stopped behaving like animals but have been humanized to excess do you remember the smile of the indoraptor I remember it while I sleep here they are a simple outline to totally unrelated events The cast is simply out of control The only positive aspect that comes to mind about this socalled movie is that Crichton is no longer with us and he would not be able to witness this abomination Trevorrow had the incredible merit of making me reevaluate Star Wars episode IX,Notr
Though you thought the plot will revolve about the coexistence of Humans and Dinosaurs they failed to do thatStill love the CGI of the Dinosaurs so worth the watch,Notr
Sorry Hollywood there must have been some sort of misunderstanding hereYou had the budget you had the return of the legacy cast you had the source material two amazing novels and the original movies to draw inspiration from yet you come up with this Ive played Jurassic Park video games that have a more competent creative and entertaining story Everyone involved with the writing of this story should be embarrassed with themselves Pretty much every scene that occurred I was waiting for Vin Diesel to show up and say something about familyI think I speak for everyone when I say we dont want laser pen controlled Raptors chasing Chris Pratt around Malta on a motorbike If theres anyone out there who disagrees I hope you are happyAt this point I think this franchise needs to call it quits and thats coming from someone who has a special place in their heart for Jurassic Park and dinosaurs in generalSeriously how did the dinosaurs look better in  than they do now hahahaha,Notr
I rated Jurassic World Dominion with a seven because I like that kind of movies adventures with prehistoric animals but in all fairness the story wasnt the greatest It was much too exaggerated much too simple at times and the acting was sometimes not that great either Ive never been a big fan of Chris Pratt think hes just a mediocre actor and that didnt change with this movie And Laura Dern isnt an actress I appreciate a lot either so those two combined isnt a success formula for me The only reason I score it this high maybe too high is because of the CGIs which were very good and thats what made it entertaining Maybe its time to call it a day with the Jurassic franchise At one point enough is enough,Notr
The film is of course not innovative and is also a film where two worlds come together And to finish it off well its not going well The cast of the first three films and the last two And then a story has to be made of it And thats where it goes wrong Just like the montages The story is also not accurate in time And the dolomites is a huge area And yet the beasts can get inside in a short time In short the film has to rely on the dinosaurs locations humor scary moments and good film images The film survives that Especially the scene with the water is beautifully filmed But the bad guy isnt a bad guy and it wont work out But its like transformers Dinosaurs save the movie So it remains sufficient,Notr
