Reviews,Mood
I feel like this movie had a good message for kids and well everyone I dont understand why it was so hated My family and I were really hoping for a sequel I think people need to give this another chance,Negative
I just want to start this by saying I went into this with zero expectations because of all the reviews I was amazed when I watched it I found myself genuinely loving it I thought it was a very fun kids movie I think people sometimes dislike things because they think it is cool but one thing I was taught from a very young age was to not be too cool to enjoy things I know it sounds cheesy but I swear some people just dislike because everyone else dislikes it too I am not saying that you have to like or thats the reason why everyone say they dislike Im just saying try not to be negative Its a great movie that is nothing more than it needs to be It does have some bad parts like a bit too much consumerism but it is so feel good This is just my personal opinion but think twice before you decide the movie is going to bad,Negative
Im shocked this is rated so poorly The movie was enjoyable and fun and great for kids Was this a dramatic masterpiece sure to win awards No Of course not it was not intended to be that sort of movie It is the story of a broken emojis quest to become unbroken He must journey through different apps on the phone in order to reach the cloud On this journey we get to see an imaginative view of what different apps could look like if the were real It is pretty clever really The Emoji Movie is full of humor the joke about the elderly is HILARIOUS and it has Steven Wright voicing the main characters father I think this movie is definitely worth watching if you have kids Theyll love it and I would think the parents would enjoy it too,Negative
Gene couldnt be meh but this movie made me meh Turned it off after  or  minutes and I was watching it for free One of the worst things recorded to film Ive ever had the displeasure of letting come into contact with my cornea,Negative
"This is this kind of movie that you think you would love it but when you watch it you realize that its total disaster This movie doesnt have any story I expected that this movie will show that having friends and connecting with people in the real world it is more important than texting emojis on your telephone
In my opinion this is the worst movie I ever saw",Negative
You look at this title page and think Oh what a cute movie about emojis You watch the film and think I want my life back This movie contains a ridiculous plot that sounds like the creators are just trying to sell about  emoji pillows The plot isnt even that clear and its hard to understand why anyones doing anything in the first place The interactions between characters are weird and unnaturalBut lets start from the obvious This film contained two game tutorials and three demonstrations You can practically see a little four year old thinking about how great Dropbox is as they watch this excuse for a motion pictureYou would assume a movie to be enjoyable artistic original and funny The Emoji Movie is none of these things Absolutely unoriginal  a typical story about someone who doesnt fit in None of the jokes in this entire movie even made me smile It is an insult to the arts When you put all that I have said together you can assume that it was not enjoyable eitherI beg you not to pay to have one hour and thirtyone minutes of your life wasted,Negative
"We live in a society 
Also the main character Gene is hot",Negative
Ever sincethat fateful day on July th my life has changed eternally  of my time awake is devoted to watching this as everything else I do is immensely boring and sad compared to the genius that is Emoji,Negative
Not much else to say Nothing is good about this movie I guess the animation was good kinda sad the animators tried,Negative
This movie has  stars because some rewievers find it funny to give this wreck  stars it dont even deserve that much i knew it would be horrible its a movie about emojis nothing good can come out from such a bad idea but it was actually worse than i expected usually i can laugh about atleast something or find some jokes clever this movie had none of those moments and the vague hints of a femenist message really didnt help whos brilliant idea was it that the female character should say You know women are always coming up with stuff that men are taking credit for when she didnt even say it sure it was implied that was her idea but its so stupid to make it about men taking womens ideas and it was even more obvious what the movie wanted you to think when yet again the female character says later in the movie im not going to be a princess waiting for my prince charming overall a horrible movie with alot stolen from other movies and whats originat is unfunny and bad dont watch it,Negative
The movies message is that communication among people is failing and can only be saved by texting with more emojisHow about face to face conversations,Negative
The movie starts off with a horrible intro The whole is just a cliche and the plot is what you expect an emoji goes around a lot of apps we use and they use subtle hints to womens rights Theres a fine line between a childs movie and a fake PG movie This movie crosses it many time over,Negative
Perfect story telling where you use no original ideas or settings or characters or lines or jokes So you dont have to use the two Brain cells you have,Negative
Best mocie ever period no cap the goat of movies,Negative
This movie is aimed at children and my daughter enjoyed it a lot While the movie wasnt great or even really good for an adult it was nowhere close to as bad as Angry Birds or Boss Baby I expect it to be worse than most of the nonDisney nonPixar stuff I saw one reviewer compare it unfavorably to Wreck it Ralph and Inside Out but come on why is that comparison even being made Those are GREAT movies in their genre This is a  It held my attention without irritating me while my  year old enjoyed herself Jokes didnt all hit but the inside the phone software metaphors was more on the mark than the vast majority of live action portrayals of virtual worlds Frankly I think the script needed maybe a couple more rounds of rewrites and it would have been above average,Negative
At one point in the movie they were facing the firewall It was a pit bull song where it says Im a fireball when it clearly shouldve been Im a firewallOverall the movie was meh,Negative
This film is more than a film Its art Out of the many outstanding qualities the themes are the most impressive It serves as a reflection on our own society the breaking of norms and the oppressive Orwellian government pushing whats different down True authenticity is a rarity in our culture with the transcendent message of the film and the innovative concept and animation The way this film was done has never been done before Ever There is literally nothing like it Focusing instead on making a masterpiece rather than making money instead of being an half assed ad like Anomalisa The Emoji restores my faith in film and in turn restores my faith in humanity Definitely deserves its own cinematic universe  out of ,Negative
Well maybe this isnt the best animation I have seen but it has some great moments and the good thing with kids is that they typically transfers their enthusiasm to their surroundings and that makes the experience better Location seating  time Palads Kbenhavn Denmark  Bio  row  seat       at ,Negative
Before seeing this film I had had only  girlfriends but now that I can converse about the fine arts I have   would recommend,Negative
This movie is an hour and a half long advertisement There was no reason or idea behind this movie but rather they needed an excuse to just shamelessly plug things,Negative
By God this is a masterpiece An absolutely gorgeous movie about Gene an emoji who does not fit in Join him and his friends as they travel through the phone which does not have obvious distasteful product placements at all Will he forever be an outsider or fit in like what eventually happens in all childrens movies Masterfully executedThis movie only gets  because it ended If only it went on evermore it would get  Truly the pinnacle of human civilisation,Negative
I saw this movie to see how bad it was and it was a terrible terrible mistake This movie is basically what would happen if you put Inside Out Wreck it Ralph crap garbage and an iPhone in a blender then put it it in the oven took out the result nuke it then put the ashes back in the oven and the emoji movie comes out Do not watch this movie Ever,Negative
This movie was a mistake in all senses of the word The animation was pretty good Ill give it that but the writing and quality control of the voice acting and screenplay was abysmal The only benefit to this movie was the reaction of the internetSony Pictures Animation has fallen so very far,Negative
Trash Thats what this movie is Dont even bother watching Save yourself,Negative
My kids are making me watch this deck on Netfrix as I type this If the Lord is ready to receive me into His kingdom I am definitely ready to go,Negative
This movie is god awful i dont understand why  people rated the movie  in a row in the user reviews maybe these accounts were created to bump up the ratings of this awful movie besides what movie is entertaining with James Cordon in the cast,Negative
Regardless of low ratingits a very good cartoon with an interesting story and satisfying conclusion,Negative
The Emoji Movie is about the Meh emoji Gene played by talented actor TJ Miller It has everything youd want out of a movie conflict good characters engaging story and a happy ending Without spoiling this masterpiece I can tell you that Gene goes through an epic adventure where he grows as an Emoji I dont have any kids because I hate them but the kids in the theater seemed to enjoy themselves even after I accidentally spilled my soda on them hahaha It is definitely worth a watch if you ask meYa boi Tony,Negative
Even though It has low rating and Is made fun of a lot It was actually enjoyable I watched this movie with my friend In theaters and I was thinking It would be an awful movie that I could make fun of but then It was actually pretty enjoyable There are a few kinda cringy parts such as some of the dancing scenes but it was still an enjoyable movie My serious rating ,Negative
People DO NOT listen to the people that gave this film  It might be obvious that those guys must be paid by Sony to rate this So try managing your review setting so you can avoid them But if you want to YOU HAVE BEEN WARNED,Negative
Bringin back  in an absolute catastrophy of a movie,Negative
"I got so bored while watching it that while it was still playing i made this IMDb account just to rate it  star This movie is the reason why IMDb needs to add a  star rating
There has been an experiment in which a person is shocked when he touches a button says that hes never going to touch it then he gets put in a room with the button and they get so bored that they touch the button multiple times just because they have nothing better to do
Now if they repeat this experiment but this time they replace the electric shock and the button with the Emoji Movie its going to bring in media attention and lawsuits because its unethical to lock up a person in the same room as this horrendous movie",Negative
Ive never seen such an unrelevant movie before Its just so dumb and nonsensical it is like a bad mix of the Lego movie and Pixels Just do not watch it,Negative
OK I went in expecting the absolute worst from this movie as I was purchasing my ticket however as I got sat down I began to reolise all my worries were for nothing I really liked the movie it kept me entertained I dont know what the hell most of America saw but I laughed out loud more than once and my fave emoji was the badass jailbreak I say take the family go by yourself just ignore the critics and see this movie,Negative
There are only  of the reviews are positive Do not believe them There is a reason this movie sucks I may not be explaining it right here but read the other reviews here,Negative
Very good yes i like the part where he does the thing,Negative
Please dont listen or watch or read the reviews for this incredible movie I guarantee these folks didnt see the movie they are just upset it was an amazing experience like the one I had For weeks I have been awaiting this gem to arrive at my local theater house For weeks I have been ranting and raving and just having pure excitement knowing my girl Sophia will be costarring The movie is well directed and the score goes right to the heart of my soul I loved how the movie had credits at the beginning and end I enjoyed the message and I wasnt let down I stayed in the theater for  consecutive showings until I was removed by the usher I highly recommend this movie be a part of your legacy,Negative
I went into this movie expecting it to be rubbish but I certainly wasnt expecting the astoundingly high amount of blatant racism and homophobia in it especially during the first and third act I specifically recall the scene where after praising Elliot Rodger as a hero Gene and Jailbreak tell all LGBT members in the film that they didnt deserve love then proceed to have a massive orgy with the rest of the characters which was extremely disturbing and totally inappropriate for children I cant believe Sony allowed Tony Leondis to get away with this appalling piece of cinema,Negative
Probably one of the worst movies to ever exist Please do not waste your money on watching this movie Its is not worth your time,Negative
Just a terrible movie who makes money off cool and hip emojis,Negative
This is the worst movie Ive ever seen in my life,Negative
I would rather break all my Jones in my boy than watch this horror movie i hate it,Negative
"This movie is pure trash Its just so sad that a bunch of people came in and thought this was a good idea The whole movie is one big ad
and its literally trying to make a full on scene just by making ads I cant believe someone just sat there and thought No ones gonna notice the ads I just feel really bad for all the people who had to suffer watching this movie Im just so sadHumanity is doomedReally humanity is gonna get nowhere with this kind of Movie Seriously how can you even consider this a movie and not just one fat adAlso The Emoji Movies storyboard feels like it was written for  minutes until they pitched the idea Just one fat try to make money by advertising companies in an awful MovieIf you ask me the poop emoji shouldve been the main character because he represents this Movie amazingly  At least I can laugh at all the jokes they make off this Movie",Negative
"Hello there I took my three grandchildren to the cinema the other day to see the Emojee Movie and my kids LOVED IT They said this is bound to be a meme which is a silly word meaning the greatest My youngest daughter got frightened by the scary viruses reminiscent of the ones on my Windows Vista But my other kids ATE IT UP Very funny plot about the cell phone also i love candy crush They said the day after that Jacksfilms is the movies biggest fan But I am reigning supremeSincerely
Donna W Emogee Movie connoisseur",Negative
I went with my  year old daughter and we both liked it Its not excellent but its an action paced animated movie that feels goodThe plot is at least original Sure it has lots of product placement but it couldnt be otherwise Actually the movie is all about product placement But thats OK thats actually how it relates to the audience that know each app on our smartphone and you use them everyday And thats actually what makes it interesting and compelling How could a movie about your phone be with fake names and fake apps it wouldnt make senseHowever the action felt like they were just passing each level from one app to the other until the final destination And its not that funny but it has some nice funny lines that make you smile but not laugh My kid laughed a bit with the easy jokes Positive points for the animation liked the Instagram bit especially for the really nice D feelDespicable Me  is funnier Cars  is more adventurous But Emoji relates more to the audience and to the real life,Negative
"This movie is easily the worst of all time
I mean I would rather watch The Room than watch thisSeriously its awfulDont and I mean itDONt WATCH THIS MOVIEI wish I could give it lower than a one",Negative
"If you would like to watch an hour and a half long commercial then this is the movie for you The entire film revolves around these brand deals they were able to acquire such as Candy Crush Just Dance and Spotify Even if it doesnt make sense for the plot and what is happening for these brand deals to be brought in to the movie they are still included Its like watching a YouTube video with mid roll ads that interrupt the video
The plot itself is very common and not nearly as different or interesting enough as many other films with this format The characters are bland and forgettable since they are literally the same characters as your regular outcast hero characters If you want to see a good version of this film watch Wreck It Ralph While that film isnt the exact same as this it is quite similar and much more intriguing and interesting I cant even think of a single thing I liked about this film thats just how bad it was",Negative
" PREDICTABLE STORY LINE
 BLANDunlikable CHARACTERS
 CRINGEWORTHY JOKES
go watch wreck it Ralph its way better",Negative
I find it strange how most of the  come from accounts that have only rated this movie,Negative
This movie if great for kids I enjoy watching it too The only thing that sort of bothered me is the underlying message It has a little of the PC feel but doesnt push it too hard You know the everybodys trying to stay in their expected social cues and anyone that breaks from the patriarch will be hunted down and killed That PC But your kids will love it and shouldnt read between the lines I ask you not to either Just enjoy the movie for what it is Dumb fun with some really cool moments and understanding of what really happens when we press the little emoji button on our phones,Negative
Its horrible dont watch it The only good thing about it is that its consitant Consistantly bad,Negative
Its a different movie from I have watched before As an expert in animated movies I can tell you you wont regret it,Negative
Watched this with a bus full of  year olds Thank you God for the experience of a lifetime and have a good day,Negative
In what universe is it ethical to make a movielength advertisement and then market it to children,Negative
The Emoji Movie is notorious for being awful And considering I love to occasionally watch an awful film in order to get a good laugh I decided to finally see this piece of dreck Overall it was a terrible movie but perhaps not as terrible as I expected It ended up being more tedious than painful to watchSo whats wrong with this movie The writing Despite the film being all about emojis the writers managed to hit every possible cliche a kids movie could use And considering these are emojis it just didnt make sense to stick so close to a rather overused formula Additionally the film had what seemed like hundreds of jokes relating to computers and social mediaand each and every one of them fell flat And several of these jokes involved the poop emoji This is because in none of these was there even a hint of humor or cleverness I noticed one review where the reviewer gives this one a  Thats like saying that a velvet Elvis painting belongs in the Louvre,Negative
It suucks Nothin is good from graphics to story to music never watching again,Negative
"Let the truth be told sony just laid a dump on all of us poor sound animation was good but its lacking a bit
if it would be released before some animated movies it would be good but this was a real disappointment",Negative
This is the greatest movie I have ever seen I think that this was even better than cool cat saves the kids I was hesitant to watch this movie but after I the commercials for the candy crush part My Favorite GameI had to see this so I forced my kids into the car and made them watch the whole movie ,Negative
Frick you sony You make me sick To call this video a film is honestly insulting to to every movie ever made yes including The Amazing Bulk The obvious pandering is just the start it tries to pull Blatant advertising of apps unfunny jokes and the most basic plot ever I hate the emoji movie,Negative
OK no offense but to everyone saying this is stupid and who came up with this stupid idea  this world is dead Etc we are the world and we are the future if you think this movie sucked than do something about it and start using your creativity and change the future I thought it was OK for kids it was innocent,Negative
Yeah this movie is just absolute garbage like seriously a movie about literal things you send in chats this movie is pretty corny and stupid as well the plot is about a cornball simp the movie just sucks and a princess emoji thats being hunted What is even the point of this movie existing the person who made this should be ashamed and  million US dollars to make such a terrible movie is suck a waste like yeah it made a good amount of money like  million us dollars but movie was just bad man I watched this in  and saw how corny it was and i just didnt watch it also this movie sucked I wish I could give zero,Negative
Everyone thinks this movie is st but its actually good Just enjoy it Remember its just an animation just for fun and dont take it too seriously,Negative
Me and  other friends went to see this movie and we all agreed that it was cringy but also good at the same time which is the reason why i am giving this movie its deserved rating me and my  other friends that saw this movie too i also think that this movie shouldnt have replaced the popeye movie too,Negative
Decent plo great cast and good performances but not enough to merit this being anything above average for me as an animated movieConcept is cool and relatable for the overall family Its coherent and does entertains at the level its supposed toI dont agree with the very low ratings but dont see this being an amazing or needle mover A great fun time if you wanna laugh and enjoy a witty comical creative movieEasy to relate to with good characters that offer humour and motivationIf you see this on tv definitely watch it It just may not be worth the price of renting lolEnjoy,Negative
To be honest it wasnt so bad the emojis animation looks good but the whole thing reminds me about wreck it Ralf but more lame Because wreck it Ralf has a whole story line and a lot more memes and wider perspective while this movie is only a childish entertainment which is really a bad choice Heres why who do you think will watch this movie Sure adults might understand the jokes inside about internet and stuff but not really and the whole story line is weird and the love between jailbreak and Jean is awkward super awkward If you say this is for kids no because they cant even understand the memes and jokes about internet and social medias its just boring for them And for teenagers Its just lame,Negative
So I watched this movie a couple times and I heard before watching it Its Bad Or Its Horrible So anyways I watch it and the whole thing was okayBut I really dont understand why its rated  stars I mean Its not that bad but I would recommend And it was just Stupid a little bit but funny at the same time,Negative
Should you watch this if youre a adult alone no Should you watch this whit children yes for kids at the age form  to  this is a enjoyable movie I was very skeptical about this movie because of the reviews i watched it today whit two young children and the enjoyed it Watching this movie whit them made this movie a lot better The animation was good the pasting was ke it was very colorful almost neon a clear sign that this movie is for very small children The story is simple easy to follow for kids Is this a animation masterpiece no it is not inside out its not Up Its just a movie for very small children,Negative
This was so boring I turned it off after half an hour,Negative
Christopher Nolan will never reach this level of writing its an absolute masterclass of fictionthis will change lives MARK MY WORDS,Negative
DO NOT WATCH THIS MOVIE I DID AND I WILL NEVER GET THOSE  MINUTES BACK,Negative
"The story Incredibly cliched
The jokes not funny and sometimes to the point where it doesnt even make any sense I still wake up in cold sweats about the clock one
The characters every bad kids movie character combined
The message be yourself Gee how innovative and creative also theres an out of place feminism theme thats just jarring
Animation is the only good thing about this dumpster fire Please dont watch this",Negative
It is not that bad as the media describes it it was kinda good to be honest,Negative
Its just bad horrible terrible please avert your eyes from this movie,Negative
Okay this isnt the BEST movie out there but I just wanted to say that it could have been a WHOLE LOT WORSE that it was I watched this movie purely because I was curious if it was bad as some people were making it out to be Its not I consider myself to be an adult and even I could relate to some of the messages that this film tried to convey and even appreciated their attempts as cheesy as they may have been at humour This film does in no way warrant the hate reviews that it has been receiving as of late Its aimed at a YOUNGER easiertoplease sugarcrazed crowd of little tweens and to them I can assure you this was gold Its a kids movie What on earth were you expecting,Negative
I dont understand the hate this movie gets I found it funny and charming Its a pretty clever idea emojis who are only allowed to be one thing I would recommend people watch it with an open mind before reading the reviews Its definitely a repeat movie for me I watch it all the time,Negative
I read the reviews of this film and thought I would never watch this film as the reviews were terrible and my sister convinced me to go and watch this I was dreading it however I came out of the screen thinking those terrible reviews were pretty terrible themselves as I laughed quite a few times and enjoyed this film so ignore negative reviews and take your kids to go and watch this film you will be surprised,Negative
Its a film about emojis or emoticons if you preferSo check your expectationsIt was cute enough My favorite part was Sir Patrick Stewart voicing the Poop EmojiWorth a rental if you have a young one that loves emojisNot the best movie in the world and definitely not the worst,Negative
THE EMOJI MOVIE IS THE GREATEST MOVIE OF ALL TIME THERE IS NO MOVIE BETTER THAN THIS IT DESERVES THE OSCAR FOR BEST PICTURE IT IS THE GREATEST MOVIE OF ALL TIMEI mean come on Stale jokes Patrick Stewart as a turd  product placement a plot that goes absolutely nowhere lack of common sense anywhere throughout the movie Oh sure the FORMULA for a Best Picture winner I SERIOUSLY wonder just what exactly was going through the minds of the people who worked on this Lets be honest among movies considered the worst theres The Room which quite frankly puts a smile on my face and then theres this loadocrap a systematic braindrain Like I could actually take The Room seriously compared to whatever this was Hell The Emoji Movie shouldnt even have been thought of in the first place,Negative
Please dont watch this Dont I did It was horrible cringeful just plain bad Stay away from this movie its poison in your veins and will leave you confused and angry There is nothing redeeming in this movie the jokes are horrible the characters are just boring So boring but its not The Room bad Where its a bit funny No this is just so bad its bad There is no other way i can describe this level of bad,Negative
I do not recommend watching this movie because it just made me throw the phone out of the window When I see an Emoji I felt bad for the future generations because when you published this movie you proved that there is no hope left on earth and you have opened the gates of hell when this movie was published What is the next movie going to be The Snapchat Movie The rise of the Hotdog filter Also this movie is the reason why Ive lost the will to live If you have  for a ticket for this movie just spend it to cancer charities so cancer like this gets cured and nobody has to watch this  This movie was a crime to the humanity and whoever did this movie should be thrown in jail immediately,Negative
"It was entertaining
Fun to see different apps
Likable characters esp parentsA little too much music
Some parts held out way too long",Negative
I am being serious There IS something to them claiming that the US is the devil The more I read into it the more their cause seems plausible to me The movie is so stunningly bad it will be the major talking point in hushed and serious tones akin to talking about a new and unstoppable strain of Ebola across all known and unknown media It is an extinction level event all by itself Someone actually sat down and penned this terminal cancer I had to sit down through the entire sad affair because it was too horrible not to This movie is the  Hiroshima and Nagasaki of your soul,Negative
Dont tire yourself and read negative reviews it all a lies The movie is very good and funny I give it By the way this is my first review I ever made just because I was really angry why this movie get a lot of low rates,Negative
Wow Words cannot describe what I have just seen It is sad to see that Hollywood as sank this low in creating a filmThe worst part wasnt the clich dialogue or the terrible comedy It wasnt the predictable and recycled plot The worst part about this movie is that at one point a group of executives sat together in a board room and thought Whats something hip and cool that kids like and they all collectively agreed that and EMOJI movie would be the best ideaAt one point I was in the middle of watching this and I came to the sad realization that I was watching a movie about EMOJIS Overall this movie was a sad attempt at trying to keep up with the times and I hope that this is a Hollywoods final attempt at trying to do something like this,Negative
Combine WreckIt Ralph with Inside Out then remove everything food about those movies and youre left with thisIts a movie about emojis its as terrible as you think it will be,Negative
If I could give this movie a  i would This movie was so boring that I slept in the middle of it and I NEVER sleep through movies I wasted my  on this horrible movie DONT WATCH IT,Negative
"I love animated movies but this is just a complete disaster Dont see this movie ever in your life I watched this movie a while back and I hated every single thing about this movie First the jokes arent that funny Second most of the characters were really annoying and bland This is a complete ripoff of the LEGO Movie
The worst movie by Sony so far",Negative
Not nearly as bad as everyone says I dont get the hate behind it and Ive seen way way way worse Yes that alone doesnt make it a good movie but its not nearly bad enough to be called the worst animated movie of all time,Negative
Soulless movie created solely for the purpose of making money out of a fad Its not creative in the least and a waste of time Should have been released straight to netflix and skipped the theaters,Negative
Lol Im really not sure why this movie is so underrated I found it interesting maybe not really funny but some jokes were dark and not for kids which was kind of creepy but still the plot is nice The ending was also really good teaching everyone that you have to be yourself and dont pretend to be someone else Guilty pleasure Wasnt masterpiece but far away from bad movie,Negative
There was no plot character development was nonexistent Product placement was everywhere The romance was also so amazingly disappointing and probably shouldnt have even been in the movie I doubt I will ever have children knowing that they will grow up in a world where this is seen as actual entertainment and not a pile of poop emoji This isnt a  million dollar movie and looked like it had the budget of your average Bollywood film I doubt Ill ever see an emoji the same way as this mentally and emotionally scarred me to the point that I feel emotions have become obsolete Overall the movie was an utter waste of money I give it  OK hand emojis out of ,Negative
I honestly cant say that Im surprised AT ALL by the reactions of this movie because this was met with almost universal disdain from the pitch alone This is almost like a parody movie that youd find in a Family Guy cutaway or something not an actual product that should exist on this planet Hey have you seen Inside Out andor Wreckit Ralph Good you got yourself a double feature that you can watch instead of paying money to go see  MILLION get set on fire and watch it burn to ashes for  minutes This movie has only one of very very few redeeming traits and it is this ANYONE can get their movie in theaters regardless of talent quality or entertainment value for ages  and under if you throw enough money at it you too can play the same weekend as Atomic Blonde with the smug attitude of Yes people with common sense will see this,Negative
The Emoji movie is cancer Thats one word to sum it up Its very very bad and can not be redeemed at all Dont watch if you want to keep your brain cells,Negative
I actually kind of liked this movie I cant say its the new Shrek or something like that but it was kind of nice The story was clear and easy to understand Its childsafe and it has some easter eggs in it Par example the chase in Shrek with that dragon that gets entangled in her own chains I always enjoy it when people put easter eggs like that in their movie So this is my conclusion if youre ill and too tired to watch more complicated movies this is kind of nice Just keep a vomit bucket with you for during the ending scene That scene was just too sweet,Negative
Sonys film studio has manufactured another hit And thats all you will want after seeing this film To be hit as many times as possible with a rusty crowbar The cheapest sloppiest animation goes nicely with this unfunny unoriginal mess Dont spend your hard earned money and watch it to see how bad it is Pirate it if you really want to see how bad it is,Negative
 was an absolute golden experience would smash again,Negative
I watched this movie with the lowest possible expectations and was pleasantly surprised This movie is boring hilarious depressing and deep depending on the scenejoke Watch it with an open mind and prepare to be amazedchanged forever,Negative
Ugh another soulless product placement film with terrible characters and stupid plot dont waste your time with this These type of films need to be at the bottom of a Walmart bargain bin,Negative
I thought this movie could be atleast a little bit creative but it isnt in the sligthest I found my self having to use my phone during the whole movie cause I was so bored Very lousy job of Sony animation studios,Negative
Yep you read the title This movie is not worth it This movie is about an oddoneout emoji whos supposed to be meh that lives in a phone ORIGINAL IDEA but makes a mistake and stuff so he teams up with the Carpool Karaoke guy as your worst nightmare and a female emoji who is actually a princess this whole time WRECKIT RALPH DID IT FIRST to make things right Who wants to play Spot the confusing product placement Basically It is just the worst movie ever made in the century heck it even made Foodfight look like The Lion King Its a good thing I havent seen this movie in theaters But hey That is just my opinion So whatever you do if there is one film or many films you need to watch Please PLEASE avoid this one This movie is just one big Sir Patrick Stewartfest,Negative
The reason this movie is rated so high is because people joking and rating it  I know you people hate this movie but please dont rate it high because it will just make the movie look better then it really is,Negative
Overall I felt that this movie definitely wasnt bad Maybe it was kind of a coy to advertise different mobile apps to young children but I watch this when it first came out and I surprisingly enjoyed it Definitely deserves at least a  Great comedy and plot lines In this show For its purpose an overall great film  ,Negative
OK I went to see this with the intention of finishing it but had to leave early but from what I did see people are just being big babys about how bad the movie is I really enjoyed what I saw maybe not as funny as the trailer was but still good would like to finish it at some point os loved the badass jailbrake she was cool and everyone else seemed great too I liked it not loved it and like I said didnt finish it but I had a nice time from what I got to see,Negative
 In  we will have flying cars  THE EMOJI MOVIEI cant believe that Sony would create such a horrific film My eyes are forever scarred This movie is an atrocity and is just ad WHERE WAS THE  emoji Its unbelievable that people would pay to see a movie like this I already was starting to believe there was no god but now I know there isnt This movie is the opposite of  Dont spend money on this unless you want cancer,Negative
when i saw the movie i thought what a great idea that it has and really enjoyed the movie personally but when i came to IMDb i was expecting really high ratings but reallyi dont know why do people hate this film i found it really entertaining and by the way the whole emoji idea i really think that is awesome by still its one of the most hated movies that i dont really get it,Negative
Oh my gosh this is the worst movie I have ever even heard  All of it was so bloody stupid that I couldnt stop vomiting all over the floor All the kids in the theater were so mad and ever threw there drinks at the screen In my opinion this is the worst movie ever created All jokes in this movie were  unfunny and rubbish  none of the characters had any emotion and it was so boring Both kids and adults with not enjoy,Negative
This movie is garbage Dont watch it I took my little sibling to see this I was forced to and Im very glad with what I saw a horrible movie I wanted this movie to fail simply because of how dumb the idea is and how cringe worthy it is Right now it feels like Christmas for me The movie is so bland and generic and cheesy and illogical seriously they bombed See Sony this is karma for screwing over SpiderMan and all relating characters for the past few years Next time stick with a Popeye movieNow this review Is just my rant about how much I wanted it to fail But if I were to put a REAL review in itd be this This is one of the most clich movies of all time Its like Sony looked at things like Wreck it Ralph and Finding Dory and just straight up copied it But made it worse The characters are bland the story is bland and all the comedy fails STAY AWAY FROM THIS MESSAnd Patrick Stewart what are you doing here in this mess Youre better than this man Cmon Poop Really,Negative
This movie is both boring and rage inducing at the same time I with no exaggeration almost attempted suicide for the fifth time in the past year If you have considered seeing this movie ironically save your money The movie is so awful that it is generally unpleasant to view even ironically If you have a history of suicide I wouldnt risk going to The Emoji Movie as it might trigger an episode If youre a member of the target demographic for this film and are planning on going to see this movie re evaluate your life then promptly proceed to donate whatever money you were going to pay for your tickets to charity and take your family out for dinner at a nice restaurant,Negative
The Emoji Movie is completely garbage useless movie designed to appeal to young children It has terrible dialogue most of the characters are boring and the plot is nonsensical It is one of if not the worst movie I have ever seen Even though it was such a terrible godawful film I enjoyed it Its got a certain charm to it that can only be achieved with a perfect storm of awful Overall the movie fails outright But just because it is bad doesnt mean theres no fun to be had,Negative
If your reading this Im gone now If ever a movie could make you feel any emotion this is it never have I wanted to punt a baby panda for a field goal never have I ever felt that Sony is a sellout when making the movies Like any Adam Sandler movies So if your reading this Im gone now to a far better place so dont cry for me Im already gone,Negative
