,Reviews,Mood
10,"This is pure art. I don't need words for context. You can just tell by the beautiful and meaningful title, depicting the innocent and dream-like lives of the Emojis! 10/10",Negative
11,"I am not paid by sony or the producers so this is a real review:
the movie had a good story (like every other movie) the animation was pretty good and the jokes were pretty funny 10/10",Negative
12,"So bad, I can't even find words to describe it... Why????? Funny? Nope. Exciting? Nope? Did we learn something? Yeah, never ever watch The Emoji Movie again! And Hollywood has too much money... And NEVER EVER watch this crap again!",Negative
13,It's hard to overstate how bad this is. A stellar comedic cast and any one of them could have created a better movie if it was just 90 minutes of them reading the phone book.Do not ever watch this!,Negative
14,"Just awful. The jokes didn't land, the animation was dull and uninspired, the characters, when they weren't being incredibly annoying, were one note and clichè. Really, who on earth had the idea to make a movie about emoji? Not only all this, but the film is so much a copy of other kid's films it's not even funny. Half the time I wasn't sure if I wasn't the Emoji Movie, or Wreck-it-Ralph (A far superior film) Don't waste your time on this. The fact that a Popeye movie was canceled for this after the incredible footage released is criminal.",Negative
15,"I feel like this movie had a good message for kids and well, everyone. I don't understand why it was so hated. My family and I were really hoping for a sequel. I think people need to give this another chance.",Negative
16,"I just want to start this by saying I went into this with zero expectations because of all the reviews. I was amazed when I watched it I found myself genuinely loving it. I thought it was a very fun kids movie. I think people sometimes dislike things because they think it is ""cool"" but one thing I was taught from a very young age was to not be too cool to enjoy things. I know it sounds cheesy but I swear some people just dislike because ""everyone"" else dislikes it too. I am not saying that you have to like or that's the reason why everyone say they dislike I'm just saying try not to be negative. It's a great movie that is nothing more than it needs to be. It does have some bad parts like a bit too much consumerism but it is so feel good. This is just my personal opinion but think twice before you decide the movie is going to bad.",Negative
17,"I'm shocked this is rated so poorly. The movie was enjoyable and fun, and great for kids. Was this a dramatic masterpiece sure to win awards? No. Of course not. it was not intended to be that sort of movie. It is the story of a broken emoji's quest to become un-broken. He must journey through different apps on the phone in order to reach the cloud. On this journey we get to see an imaginative view of what different apps could look like if the were ""real"". It is pretty clever, really. The Emoji Movie is full of humor (the joke about the elderly is HILARIOUS) and it has Steven Wright voicing the main character's father. I think this movie is definitely worth watching if you have kids... They'll love it and I would think the parents would enjoy it too.",Negative
18,"Here we go.... The Emoji Movie: basically smash The Lego Movie and Wreck-It Ralph together and get a sentient aubergine to write it and you get the Emoji Movie- which is about Gene (T. J. Miller) a 'Meh' emoji, but Gene has other emotions beyond just meh and is labelled a malfunction so he sets of on a journey through the phone to find himself, while also going through Candy Crush, Just Dance, YouTube, Spotify, Dropbox, Facebook, Instagram and Twitter... USE OUR PRODUCTS. This is a bad movie straight up, but I kinda of wish it was worse. Then it could have turned into 'so bad it's good' kinda film, but sadly this is just a dull, zestless, pointless and oddly confusing movie which is only 1 hour and 31 minutes long but feels like 3 hours staring at a flickering light bulb with this stupid gormless smile. Patrick Stewart voices a poo emoji- do you want a more telling metaphor than that?The thing is for a movie about our emoji culture, it seems to hate its very subject matter, it makes fun of all its app related features but never goes full out on them so it's not even a satire of this culture. And of course the product placement is just the worse. There's literally a 10 minute sequence in the Candy Crush world where they play an actual game of Candy Crush. That said the beat moment in this ""movie"" was the Instagram part: the characters could walk into the photo itself and everything is frozen in place which is kinda nice but I've seen that done better in other movies- Looney Tunes: Back in Action did that with actual works of art, with the style of animation mirroring the style of art which is way more creative. Unsurprisingly this is a bad movie but no where near enough that it's worth any great deal of attention. If you want to see an alright animated movie anytime soon go see Cars 3 it's another Cars movie but that's more entertaining than this 'meh' movie. I give The Emoji Movie a D-.... But this was also my worst cinema going experience to date- never has the audience reflected the movie so well (they also were just the worst) and for that The Emoji Movie gets demoted to an F",Negative
19,"Gene couldn't be meh, but this ""movie"" made me meh. Turned it off after 15 or 20 minutes and I was watching it for free. One of the worst things recorded to film I've ever had the displeasure of letting come into contact with my cornea.",Negative
20,"This is this kind of movie that you think you would love it but when you watch it you realize that its total disaster. This movie doesn't have any story. I expected that this movie will show that having friends and connecting with people in the real world it is more important than texting emojis on your telephone.
In my opinion, this is the worst movie I ever saw.",Negative
21,"You look at this title page and think, Oh, what a cute movie about emojis! You watch the film and think, I want my life back! This movie contains a ridiculous plot that sounds like the creators are just trying to sell about 100000000 emoji pillows. The plot isn't even that clear, and it's hard to understand why anyone's doing anything in the first place. The interactions between characters are weird and unnatural.But let's start from the obvious. This film contained two game tutorials and three demonstrations. You can practically see a little four year old thinking about how great Dropbox is as they watch this excuse for a motion picture.You would assume a movie to be enjoyable, artistic, original, and funny. The Emoji Movie is none of these things. Absolutely unoriginal - a typical story about someone who doesn't fit in. None of the jokes in this entire movie even made me smile. It is an insult to the arts. When you put all that I have said together, you can assume that it was not enjoyable either.I beg you not to pay to have one hour and thirty-one minutes of your life wasted.",Negative
22,"The movie is not terrible at all. The concept is interesting enough and there is a lot to look at which keeps you interested. The story itself was even a good idea and enjoyable. It was pretty cool how they integrated the phone, even if it left some things to be desired. That's about where it stops for the positives though.The execution was poor. Nothing completely makes sense. There are a lot of things that aren't explained. As you watch, you don't really care about any of the characters.Also, it really just felt like a much worse version of inside out. The phone world felt like Riley's brain and the characters like the emotions. But that works in Inside Out and it just does not here. I cared about Riley and the emotions in that movie but I don't care about Alex or these emojis. I think the biggest difference and the biggest problem with this movie is that it lacked build up into the plot that a movie like Inside Out had.Like I said, it is not terrible. I love animated movies and would call this one a movie you show a child. They're all made for children, but only some are so good that even adults will fall in love.",Negative
23,"We live in a society 💔😭
Also the main character, Gene, is hot.",Negative
24,"We have to scoop back to neutrality here. The more reactive takes seem to have kind of missed the plot. You read the title before watching it yes or no ?....In what world was a satirical animation movie based of modern day's overused trash hieroglyphics going to make the top shelves or be a 7 or 8. It was never to be and that's not why anyone would have been inclined towards it in the first place.They pulled it off in my own vested opinion. It was funny - I laughed, satirical, and not too rough on the edges. It was never going to logically make sense in a million years, but that wasn't the point and that's not what got anyone in the studio.Instead the real criticism perhaps can be it's similarity to other animation pieces, however it's best to note where conceptually the assimilations could be placed before saying it's a cop-out. With the ratings alone I never thought I was going to watch it, but it's definitely not a 3/10, it's about a 5/10 and one extra for even pulling it off at all so a 6.If there was ever going to be world where this is a 7 or 8, the age rating would likely have to have been upscaled, and also the originality of this movie undoubted.",Negative
25,"Ever sincethat fateful day on July 28th my life has changed eternally .70% of my time awake is devoted to watching this as everything else I do is immensely boring and sad compared to the genius that is ,Emoji.",Negative
26,Not much else to say. Nothing is good about this movie. I guess the animation was good kinda sad the animators tried.,Negative
27,"The Emoji Movie...okay, I just made a bit of pause because I don't even know how to start this. Let me just start how I usually start. The premise. So in this boy's phone, there's a city called Textopolis where all emojis live (?) and wait to be picked by that boy. And we follow the emoji that has multiple emotions and he's supposed to be ""meh"". So he wants to kinda cure himself on this journey through all kinds of product placements possible.At the same time that boy Alex who owns the phone tries to make her like him with an emoji because I guess emojis and technology are the only way to express your feelings this days, and there's even a quote in this movie about how emojis is the most important form of human communication. I'm not lying, I'm not exaggerating, they said that. It's freaking line from this movie. If you still don't believe me, I don't blame you, just don't try to make sure while seeing it for yourself. You DO NOT need that in your life. You have better things to do with your time. Just imagine something like The Lego Movie, Tron and Inside Out if all of them were one giant cash-grab of a ""movie"". Halfway through, I couldn't even tell if I was watching a movie or a feature-length commercial. With every cliché an animated kids movie could possibly fall into. Lead isn't who everyone wants him to be? Check. ""Funny"" sidekick on a journey? Check. Group arguing before the third act starts? Check. A character supposedly dies? Check. A dance sequence to a pop song (possibly by Pitbull)? Check. Only this one isn't even relevant anymore. Wanna know what it is? Well, even if you don't, I just can't resist. It's FEEL THIS MOMENT? GET IT?! BECAUSE THEY ARE EMOJIS AND THEY FEEL THINGS?! Ha, ain't that clever?!Okay, I don't think I have anything else to say and even if I do, it's probably nothing good. Avoid this and maybe you'll save the movie industry at least a little bit.",Negative
28,"This movie has 1,5 stars because some rewievers find it funny to give this wreck 10 stars. it don't even deserve that much. i knew it would be horrible. it's a movie about emoji's. nothing good can come out from such a bad idea. but it was actually worse than i expected. usually i can laugh about atleast something or find some jokes clever. this movie had none of those moments. and the ""vague"" hints of a femenist message really didn't help. who's brilliant idea was it that the female character should say ""You know, women are always coming up with stuff, that men are taking credit for"" when she didn't even say it. sure it was implied that was her idea but it's so stupid to make it about men taking womens ideas. and it was even more obvious what the movie wanted you to think when yet again the female character says later in the movie ""im not going to be a princess waiting for my prince charming"" overall a horrible movie with alot stolen from other movies and what's originat is unfunny and bad. don't watch it",Negative
29,The movie's message is that communication among people is failing and can only be saved by texting with more emojis.How about face to face conversations?,Negative
30,"The movie starts off with a horrible intro. The whole is just a cliche, and the plot is what you expect, an emoji goes around a lot of apps we use, and they use ""subtle"" hints to women's rights. There's a fine line between a child's movie, and a fake PG movie. This movie crosses it, many time over.",Negative
31,Perfect story telling where you use no original ideas or settings or characters or lines or jokes. So you don't have to use the two Brain cells you have!,Negative
32,Best. mocie. ever. period. no cap. the goat of movies.,Negative
33,"So I've just watched this with my kids and expected to have to claw my eyes out or catch up with some sleep while it was on. But its not that bad.from the reviews I've seen and the universal 1/10 rating i literally expected this to be unwatchable, or extremely poorly made to the point of looking like a mess - spykids 3 or something. Its about the same kind of level as any of a dozen direct to DVD 'specials' I've seen this year.Its basically a budget retread of the lego movie. Emojis try to escape from a smartphone by crossing through apps on the homescreen to get to 'the cloud' which they will access via dropbox. Some of the product placement is fairly crass but no worse than the lego movie and not as bad as many reviews I've read have implied. The characters get trapped in versions of candy crush and lets dance. Quite a lot of it is negative to the apps themselves (ie facebook) and i was surprised a key feature of the story was a 'pirate' app called 'jailbreak'.Its a kids movie, my kids (4 and 7) enjoyed it though one jump scare did get to my 4 year old (a robot unexpectedly grabs a character and snatches them off screen). They enjoyed it, as did the majority of the audience. Only one family left early and thats not unusual in a family screening. I've only ever fallen asleep during one movie in my life (wesley snipes the art of war). This is infinitely better than that movie and that movie gets 5.7? Go figure.",Negative
34,"This movie is aimed at children, and my daughter enjoyed it a lot. While the movie wasn't great or even really good for an adult, it was nowhere close to as bad as Angry Birds or Boss Baby. I expect it to be worse than most of the non-Disney, non-Pixar stuff. I saw one reviewer compare it unfavorably to Wreck it Ralph and Inside Out, but come on, why is that comparison even being made? Those are GREAT movies in their genre. This is a 5. It held my attention without irritating me, while my 4 year old enjoyed herself. Jokes didn't all hit, but the inside the phone software metaphors was more on the mark than the vast majority of live action portrayals of virtual worlds. Frankly I think the script needed maybe a couple more rounds of rewrites and it would have been above average.",Negative
35,"At one point in the movie they were facing the firewall. It was a pit bull song where it says ""Im a fireball"" when it clearly should've been 'Im a firewall'.Overall the movie was 'meh'.",Negative
36,"This film is more than a film. It's art. Out of the many outstanding qualities the themes are the most impressive. It serves as a reflection on our own society, the breaking of norms and the oppressive Orwellian government pushing what's different down. True authenticity is a rarity in our culture, with the transcendent message of the film and the innovative concept and animation. The way this film was done has never been done before. Ever. There is literally nothing like it. Focusing instead on making a masterpiece rather than making money, instead of being an half assed ad like Anomalisa. The Emoji restores my faith in film and in turn restores my faith in humanity. Definitely deserves it's own cinematic universe. 10 out of 10.",Negative
37,"When I first settled down to watch The Emoji Movie, I really didn't think I would enjoy it at all. I just watched it to have a few laughs, at the jokes, and maybe how bad it was; but it's actually pretty damn good.Gene is an emoji that makes more than one expression; a problem, considering he's supposed to be meh. After messing up and having the wrong face when he's scanned, Gene sets out on a mission to become a real emoji, and to only be meh. I personally think that this is a gem of a movie. Of course, it's much less for adults, and any one that's rather anti technology, but this has some serious life lessons in it:1) Friendship is important2) Don't bend to society's rules3) Being you is the best you you can beThere was nothing I really took from it, of course, as I knew these already, but considering this film is aimed at the technology age of children, this is an absolutely brilliant movie to take your kids to see. Maybe you won't enjoy it, but they definitely will, and it will teach them things along the way.Not as good as other movies, such as Inside Out, but this is a gem, and it really does have a lot to it, rather than being an annoying movie marketed on a trend.",Negative
38,"Well maybe this isn't the best animation I have seen, but it has some great moments and the good thing with kids is that they typically transfers their enthusiasm to their surroundings and that makes the experience better :)Location, seating & time: Palads, København, Denmark - Bio 1, row 8 seat 12, 14 & 16 - 03.08.2017 at 14.20",Negative
39,Before seeing this film I had had only 2 girlfriends but now that I can converse about the fine arts I have 28. 10/10 would recommend,Negative
40,This movie is an hour and a half long advertisement. There was no reason or idea behind this movie but rather they needed an excuse to just shamelessly plug things.,Negative
41,"By God, this is a masterpiece. An absolutely gorgeous movie about Gene, an emoji who does not fit in. Join him and his friends as they travel through the phone which does not have obvious distasteful product placements at all! Will he forever be an outsider, or fit in, like what eventually happens in all children's movies? Masterfully executed.This movie only gets 9/10 because it ended. If only it went on evermore, it would get 10/10. Truly, the pinnacle of human civilisation.",Negative
42,"I saw this movie to see how bad it was and it was a terrible, terrible mistake. This movie is basically what would happen if you put Inside Out, Wreck it Ralph, crap, garbage, and an iPhone in a blender, then put it it in the oven, took out the result, nuke it, then put the ashes back in the oven, and the emoji movie comes out. Do not watch this movie! Ever!",Negative
43,"This movie was a mistake in all senses of the word. The animation was pretty good, I'll give it that, but the writing and quality control of the voice acting and screenplay was abysmal. The only benefit to this movie was the reaction of the internet.Sony Pictures Animation has fallen so, very, far.",Negative
44,Trash. That's what this movie is. Don't even bother watching. Save yourself.,Negative
45,"My kids are making me watch this deck on Netfrix as I type this. If the Lord is ready to receive me into His kingdom, I am definitely ready to go.",Negative
46,"This movie is god awful, i don't understand why 6 people rated the movie 10/10 in a row in the 'user reviews', maybe these accounts were created to bump up the ratings of this awful movie, besides, what movie is entertaining with James Cordon in the cast?",Negative
47,Regardless of low rating....it's a very good cartoon with an interesting story and satisfying conclusion,Negative
48,"The Emoji Movie is about the Meh emoji Gene, played by talented actor T.J. Miller. It has everything you'd want out of a movie, conflict, good characters, engaging story and a happy ending. Without spoiling this masterpiece I can tell you that Gene goes through an epic adventure where he grows as an Emoji. I don't have any kids because I hate them, but the kids in the theater seemed to enjoy themselves, even after I ""accidentally"" spilled my soda on them, hahaha. It is definitely worth a watch, if you ask me.-Ya boi Tony",Negative
49,"Even though It has low rating and Is made fun of a lot, It was actually enjoyable! I watched this movie with my friend In theaters and I was thinking It would be an awful movie that I could make fun of but then It was actually pretty enjoyable. There are a few kinda cringy parts such as some of the dancing scenes but it was still an enjoyable movie. My serious rating: 8.5/10",Negative
50,"People, DO NOT listen to the people that gave this film 10/10. It might be obvious that those guys must be paid by Sony to rate this. So try managing your review setting so you can avoid them. But if you want to... YOU HAVE BEEN WARNED!!!",Negative
51,Bringin back 2010 in an absolute catastrophy of a movie,Negative
52,"I got so bored while watching it that while it was still playing i made this IMDb account just to rate it 1 star. This movie is the reason why IMDb needs to add a 0 star rating.
There has been an experiment in which a person is shocked when he touches a button, says that he's never going to touch it, then he gets put in a room with the button and they get so bored that they touch the button multiple times just because they have nothing better to do.
Now, if they repeat this experiment but this time they replace the electric shock and the button with the Emoji Movie, it's going to bring in media attention and lawsuits because it's unethical to lock up a person in the same room as this horrendous movie.",Negative
53,"I've never seen such an unrelevant movie before. It's just so dumb and nonsensical, it is like a bad mix of the Lego movie and Pixels. Just do not watch it.",Negative
54,OK I went in expecting the absolute worst from this movie as I was purchasing my ticket however as I got sat down I began to reolise all my worries were for nothing I really liked the movie it kept me entertained I don't know what the hell most of America saw but I laughed out loud more than once and my fave emoji was the badass jailbreak I say take the family go by yourself just ignore the critics and see this movie,Negative
55,"There are only 5% of the reviews are positive. Do not believe them. There is a reason this movie sucks, I may not be explaining it right here but read the other reviews here!",Negative
56,Very good yes i like the part where he does the thing,Negative
57,"The idea of this was great, but by making it the way they did, I will never look at an emoji the same way.In this film, we are treated as if we are brainless drones. Did the makers assume we would not notice that The Emoji Movie is one giant advertisement? Because that is all this movie is. Two tutorials on how to play games, and many demonstrations of how great phone's apps are. I wasted an hour and thirty-one minutes on my life watching this, when I would much rather have been sitting bored at home.The plot was messy and stupid, containing one pathetic joke after the next. The trailer was more entertaining. I will not be surprised if next year, a fidget spinner movie is released.This is also offensive to high-school aged students, as the beginning literally states that as a high-school student, Alex's entire life revolves around his phone. Another thing about that is that all they do 24/7 is text, and all they seem to use are emojis. Are the script-writers saying that all a high-school student does throughout the course of their day is press little icons on his phone to send to others?Why did people fight over creating this monstrosity? People in the year 3017 are going to look back on July 18, 2017 as the year humanity was at its lowest pitfall. Historians will marvel at how a movie that sucked so much managed to sell even one ticket after opening night.I want my life back.",Negative
58,"Please don't listen or watch or read the reviews for this incredible movie. I guarantee these folks didn't see the movie, they are just upset it was an amazing experience, like the one I had. For weeks, I have been awaiting this gem to arrive at my local theater house. For weeks I have been ranting and raving and just having pure excitement knowing my girl Sophia will be co-starring. The movie is well directed and the score goes right to the heart of my soul. I loved how the movie had credits at the beginning and end. I enjoyed the message and I wasn't let down. I stayed in the theater for 3 consecutive showings until I was removed by the usher. I highly recommend this movie be a part of your legacy.",Negative
59,"I went into this movie expecting it to be rubbish, but I certainly wasn't expecting the astoundingly high amount of blatant racism and homophobia in it, especially during the first and third act. I specifically recall the scene where after praising Elliot Rodger as a hero, Gene and Jailbreak tell all LGBT members in the film that they didn't deserve love, then proceed to have a massive orgy with the rest of the characters, which was extremely disturbing and totally inappropriate for children. I can't believe Sony allowed Tony Leondis to get away with this appalling piece of ""cinema"".",Negative
60,Probably one of the worst movies to ever exist. Please do not waste your money on watching this movie. It's is not worth your time.,Negative
61,Just a terrible movie who makes money off cool and hip emojis.,Negative
62,This is the worst movie I've ever seen in my life.,Negative
63,I would rather break all my Jones in my boy than watch this horror movie i hate it,Negative
64,"This movie is pure trash. It's just so sad that a bunch of people came in and thought this was a good idea. The whole movie is one big ad,
and it's literally trying to make a full on scene just by making ads. I can't believe someone just sat there and thought ""No ones gonna notice the ads!"" I just feel really bad for all the people who had to suffer watching this movie, I'm just... so sad.Humanity is doomed.Really, humanity is gonna get nowhere with this kind of ""Movie"" (Seriously, how can you even consider this a movie and not just one fat ad?!?)Also, The Emoji Movie's storyboard feels like it was written for 3 minutes until they pitched the idea. Just one fat try to make money by advertising companies in an awful ""Movie""If you ask me, the poop emoji should've been the main character because he represents this ""Movie"" amazingly.1/10 - At least I can laugh at all the jokes they make off this ""Movie""",Negative
65,"Hello there! I took my three grandchildren to the cinema the other day to see the Emojee Movie, and my kids LOVED IT! They said ""this is bound to be a meme"" which is a silly word meaning ""the greatest"". My youngest daughter got frightened by the scary viruses, reminiscent of the ones on my Windows Vista. But my other kids ATE IT UP! Very funny plot about the cell phone, also, i love candy crush! They said the day after that Jacksfilms is the movie's biggest fan! But I am reigning supreme!Sincerely,
Donna W, Emogee Movie connoisseur",Negative
66,"I went with my 5 year old daughter and we both liked it. It's not excellent but it's an action paced animated movie that feels good.The plot is at least original. Sure it has lots of product placement but it couldn't be otherwise. Actually the movie is all about product placement. But that's OK, that's actually how it relates to the audience that know each app on our smartphone, and you use them everyday. And that's actually what makes it interesting and compelling. How could a movie about your phone be with fake names and fake apps, it wouldn't make sense.However, the action felt like they were just passing each level, from one app to the other until the final destination. And it's not that funny, but it has some nice funny lines that make you smile (but not laugh). My kid laughed a bit with the easy jokes. Positive points for the animation, liked the Instagram bit especially for the really nice 3D feel.Despicable Me 3 is funnier. Cars 3 is more adventurous. But Emoji relates more to the audience and to the real life.",Negative
67,"This movie is easily the worst of all time
I mean I would rather watch The Room than watch thisSeriously it's awfulDon't, and I mean itDON't WATCH THIS MOVIEI wish I could give it lower than a one",Negative
68,"If you would like to watch an hour and a half long commercial then this is the movie for you. The entire film revolves around these brand deals they were able to acquire such as Candy Crush, Just Dance, and Spotify. Even if it doesn't make sense for the plot and what is happening for these brand deals to be brought in to the movie, they are still included. It's like watching a YouTube video with mid roll ads that interrupt the video.
The plot itself is very common and not nearly as different or interesting enough as many other films with this format. The characters are bland and forgettable since they are literally the same characters as your regular outcast hero characters. If you want to see a good version of this film, watch Wreck It Ralph. While that film isn't the exact same as this, it is quite similar and much more intriguing and interesting. I can't even think of a single thing I liked about this film, that's just how bad it was.",Negative
